"Step","medium_openwebtext_v2 - encoder_val_loss","medium_openwebtext_v2 - encoder_val_loss__MIN","medium_openwebtext_v2 - encoder_val_loss__MAX"
"500","8.666056747436523","8.666056747436523","8.666056747436523"
"1000","6.998637666702271","6.998637666702271","6.998637666702271"
"1500","6.61659502029419","6.61659502029419","6.61659502029419"
"2000","6.388795499801636","6.388795499801636","6.388795499801636"
"2500","6.228564691543579","6.228564691543579","6.228564691543579"
"3000","6.129809169769287","6.129809169769287","6.129809169769287"
"3500","5.9944846630096436","5.9944846630096436","5.9944846630096436"
"4000","5.907291011810303","5.907291011810303","5.907291011810303"
"4500","5.84749927520752","5.84749927520752","5.84749927520752"
"5000","5.807498893737793","5.807498893737793","5.807498893737793"
"5500","5.757720804214477","5.757720804214477","5.757720804214477"
"6000","5.716844453811645","5.716844453811645","5.716844453811645"
"6500","5.701839342117309","5.701839342117309","5.701839342117309"
"7000","5.65322322845459","5.65322322845459","5.65322322845459"
"7500","5.624880170822143","5.624880170822143","5.624880170822143"
"8000","5.57516116142273","5.57516116142273","5.57516116142273"
"8500","5.577112541198731","5.577112541198731","5.577112541198731"
"9000","5.542699918746949","5.542699918746949","5.542699918746949"
"9500","5.523199901580811","5.523199901580811","5.523199901580811"
"10000","5.500920944213867","5.500920944213867","5.500920944213867"
"10500","5.4597102069854735","5.4597102069854735","5.4597102069854735"
"11000","5.439833889007568","5.439833889007568","5.439833889007568"
"11500","5.444221820831299","5.444221820831299","5.444221820831299"
"12000","5.402851543426514","5.402851543426514","5.402851543426514"
"12500","5.3872754001617436","5.3872754001617436","5.3872754001617436"
"13000","5.390621719360351","5.390621719360351","5.390621719360351"
"13500","5.377415647506714","5.377415647506714","5.377415647506714"
"14000","5.369397401809692","5.369397401809692","5.369397401809692"
"14500","5.332456951141357","5.332456951141357","5.332456951141357"
"15000","5.333095607757568","5.333095607757568","5.333095607757568"
"15500","5.281781959533691","5.281781959533691","5.281781959533691"
"16000","5.299872894287109","5.299872894287109","5.299872894287109"
"16500","5.261330442428589","5.261330442428589","5.261330442428589"
"17000","5.27646164894104","5.27646164894104","5.27646164894104"
"17500","5.23503490447998","5.23503490447998","5.23503490447998"
"18000","5.262040872573852","5.262040872573852","5.262040872573852"
"18500","5.222178792953491","5.222178792953491","5.222178792953491"
"19000","5.228041248321533","5.228041248321533","5.228041248321533"
