"Step","shakespeare_small_encoder_no_wpe_0 - val_loss","shakespeare_small_encoder_no_wpe_0 - val_loss__MIN","shakespeare_small_encoder_no_wpe_0 - val_loss__MAX"
"100","2.556199102401733","2.556199102401733","2.556199102401733"
"200","2.455280523300171","2.455280523300171","2.455280523300171"
"300","2.4240689301490783","2.4240689301490783","2.4240689301490783"
"400","2.415754408836365","2.415754408836365","2.415754408836365"
"500","2.40342875957489","2.40342875957489","2.40342875957489"
"600","2.379098126888275","2.379098126888275","2.379098126888275"
"700","2.3788288378715516","2.3788288378715516","2.3788288378715516"
"800","2.3823049879074096","2.3823049879074096","2.3823049879074096"
"900","2.370811474323273","2.370811474323273","2.370811474323273"
"1000","2.367232871055603","2.367232871055603","2.367232871055603"
"1100","2.3756688261032104","2.3756688261032104","2.3756688261032104"
"1200","2.365253026485443","2.365253026485443","2.365253026485443"
"1300","2.3754761576652528","2.3754761576652528","2.3754761576652528"
"1400","2.3570771479606627","2.3570771479606627","2.3570771479606627"
"1500","2.3635175132751467","2.3635175132751467","2.3635175132751467"
"1600","2.360178196430206","2.360178196430206","2.360178196430206"
"1700","2.3596214985847475","2.3596214985847475","2.3596214985847475"
"1800","2.358539996147156","2.358539996147156","2.358539996147156"
"1900","2.3548113989830015","2.3548113989830015","2.3548113989830015"
"2000","2.3453227877616882","2.3453227877616882","2.3453227877616882"
"2100","2.3419456005096437","2.3419456005096437","2.3419456005096437"
"2200","2.3502434134483337","2.3502434134483337","2.3502434134483337"
"2300","2.3459915685653687","2.3459915685653687","2.3459915685653687"
"2400","2.350389313697815","2.350389313697815","2.350389313697815"
"2500","2.3372093081474303","2.3372093081474303","2.3372093081474303"
"2600","2.3424305391311644","2.3424305391311644","2.3424305391311644"
"2700","2.3417564010620118","2.3417564010620118","2.3417564010620118"
"2800","2.331463148593903","2.331463148593903","2.331463148593903"
"2900","2.339512243270874","2.339512243270874","2.339512243270874"
"3000","2.3320156073570253","2.3320156073570253","2.3320156073570253"
"3100","2.3421131992340087","2.3421131992340087","2.3421131992340087"
"3200","2.3398182153701783","2.3398182153701783","2.3398182153701783"
"3300","2.334648222923279","2.334648222923279","2.334648222923279"
"3400","2.33974134683609","2.33974134683609","2.33974134683609"
"3500","2.3417067742347717","2.3417067742347717","2.3417067742347717"
"3600","2.332255220413208","2.332255220413208","2.332255220413208"
"3700","2.341344015598297","2.341344015598297","2.341344015598297"
"3800","2.34406373500824","2.34406373500824","2.34406373500824"
