"Step","counting_medium_decoder_perm_variant_0 - accuracy","counting_medium_decoder_perm_variant_0 - accuracy__MIN","counting_medium_decoder_perm_variant_0 - accuracy__MAX"
"100","0.38877930760383606","0.38877930760383606","0.38877930760383606"
"200","0.7480208516120911","0.7480208516120911","0.7480208516120911"
"300","0.9082910364866257","0.9082910364866257","0.9082910364866257"
"400","0.9415039271116257","0.9415039271116257","0.9415039271116257"
"500","0.8825097852945327","0.8825097852945327","0.8825097852945327"
"600","0.862259134054184","0.862259134054184","0.862259134054184"
"700","0.9731933778524399","0.9731933778524399","0.9731933778524399"
"800","0.9493619978427887","0.9493619978427887","0.9493619978427887"
"900","0.9752213746309281","0.9752213746309281","0.9752213746309281"
"1000","0.9657031458616256","0.9657031458616256","0.9657031458616256"
"1100","0.9789648628234864","0.9789648628234864","0.9789648628234864"
"1200","0.9756705927848816","0.9756705927848816","0.9756705927848816"
"1300","0.9485677284002304","0.9485677284002304","0.9485677284002304"
"1400","0.9757194185256958","0.9757194185256958","0.9757194185256958"
"1500","0.9758691585063934","0.9758691585063934","0.9758691585063934"
"1600","0.9856152582168579","0.9856152582168579","0.9856152582168579"
"1700","0.9566829597949982","0.9566829597949982","0.9566829597949982"
"1800","0.9845670759677887","0.9845670759677887","0.9845670759677887"
"1900","0.9859830939769745","0.9859830939769745","0.9859830939769745"
"2000","0.9418815326690674","0.9418815326690674","0.9418815326690674"
"2100","0.9888639533519745","0.9888639533519745","0.9888639533519745"
"2200","0.9892252826690674","0.9892252826690674","0.9892252826690674"
"2300","0.9786295777559281","0.9786295777559281","0.9786295777559281"
"2400","0.9870670783519745","0.9870670783519745","0.9870670783519745"
"2500","0.9847070521116257","0.9847070521116257","0.9847070521116257"
"2600","0.9897558814287186","0.9897558814287186","0.9897558814287186"
"2700","0.9901855659484863","0.9901855659484863","0.9901855659484863"
"2800","0.9892643409967422","0.9892643409967422","0.9892643409967422"
"2900","0.9895377790927887","0.9895377790927887","0.9895377790927887"
"3000","0.990306009054184","0.990306009054184","0.990306009054184"
"3100","0.9900553578138351","0.9900553578138351","0.9900553578138351"
"3200","0.9908333539962768","0.9908333539962768","0.9908333539962768"
"3300","0.9926660376787185","0.9926660376787185","0.9926660376787185"
"3400","0.9927669495344162","0.9927669495344162","0.9927669495344162"
"3500","0.9871744978427887","0.9871744978427887","0.9871744978427887"
"3600","0.9929752826690674","0.9929752826690674","0.9929752826690674"
"3700","0.9926530146598815","0.9926530146598815","0.9926530146598815"
"3800","0.9924511933326721","0.9924511933326721","0.9924511933326721"
"3900","0.9933691591024398","0.9933691591024398","0.9933691591024398"
"4000","0.9940202003717422","0.9940202003717422","0.9940202003717422"
"4100","0.993561218380928","0.993561218380928","0.993561218380928"
"4200","0.9935286682844162","0.9935286682844162","0.9935286682844162"
"4300","0.9938932502269745","0.9938932502269745","0.9938932502269745"
"4400","0.9939909011125565","0.9939909011125565","0.9939909011125565"
"4500","0.9945866042375564","0.9945866042375564","0.9945866042375564"
"4600","0.9940429902076722","0.9940429902076722","0.9940429902076722"
"4700","0.9940690302848816","0.9940690302848816","0.9940690302848816"
"4800","0.9940722858905793","0.9940722858905793","0.9940722858905793"
"4900","0.9940625190734863","0.9940625190734863","0.9940625190734863"
"5000","0.9940332239866256","0.9940332239866256","0.9940332239866256"
"5100","0.994319679737091","0.994319679737091","0.994319679737091"
"5200","0.9942448085546494","0.9942448085546494","0.9942448085546494"
"5300","0.9945898628234864","0.9945898628234864","0.9945898628234864"
"5400","0.994417337179184","0.994417337179184","0.994417337179184"
"5500","0.9947916847467423","0.9947916847467423","0.9947916847467423"
"5600","0.9944498896598816","0.9944498896598816","0.9944498896598816"
"5700","0.994677751660347","0.994677751660347","0.994677751660347"
"5800","0.9950390827655792","0.9950390827655792","0.9950390827655792"
"5900","0.9946452051401138","0.9946452051401138","0.9946452051401138"
"6000","0.9951204621791839","0.9951204621791839","0.9951204621791839"
"6100","0.9952474170923233","0.9952474170923233","0.9952474170923233"
"6200","0.9959017115831376","0.9959017115831376","0.9959017115831376"
"6300","0.996403015255928","0.996403015255928","0.996403015255928"
"6400","0.9970019733905793","0.9970019733905793","0.9970019733905793"
"6500","0.997506530880928","0.997506530880928","0.997506530880928"
"6600","0.9979915541410446","0.9979915541410446","0.9979915541410446"
"6700","0.9982552295923233","0.9982552295923233","0.9982552295923233"
"6800","0.9985644727945328","0.9985644727945328","0.9985644727945328"
"6900","0.9989388227462769","0.9989388227462769","0.9989388227462769"
"7000","0.9992024958133697","0.9992024958133697","0.9992024958133697"
"7100","0.998837913274765","0.998837913274765","0.998837913274765"
"7200","0.9991341346502304","0.9991341346502304","0.9991341346502304"
"7300","0.9990690290927887","0.9990690290927887","0.9990690290927887"
"7400","0.9989909076690674","0.9989909076690674","0.9989909076690674"
"7500","0.9992220240831375","0.9992220240831375","0.9992220240831375"
"7600","0.9988672095537185","0.9988672095537185","0.9988672095537185"
"7700","0.9991797053813934","0.9991797053813934","0.9991797053813934"
"7800","0.9985384327173233","0.9985384327173233","0.9985384327173233"
"7900","0.9990299659967422","0.9990299659967422","0.9990299659967422"
"8000","0.9991178584098815","0.9991178584098815","0.9991178584098815"
"8100","0.9990787941217423","0.9990787941217423","0.9990787941217423"
"8200","0.9992220252752304","0.9992220252752304","0.9992220252752304"
"8300","0.9992545765638351","0.9992545765638351","0.9992545765638351"
"8400","0.9991862189769745","0.9991862189769745","0.9991862189769745"
"8500","0.9992545765638351","0.9992545765638351","0.9992545765638351"
"8600","0.9991438996791839","0.9991438996791839","0.9991438996791839"
"8700","0.999228532910347","0.999228532910347","0.999228532910347"
"8800","0.9992252826690674","0.9992252826690674","0.9992252826690674"
"8900","0.9991471523046493","0.9991471523046493","0.9991471523046493"
"9000","0.9992220270633697","0.9992220270633697","0.9992220270633697"
"9100","0.9989681178331375","0.9989681178331375","0.9989681178331375"
"9200","0.9992285352945328","0.9992285352945328","0.9992285352945328"
"9300","0.9993066573143006","0.9993066573143006","0.9993066573143006"
"9400","0.9993978047370911","0.9993978047370911","0.9993978047370911"
"9500","0.9989550977945327","0.9989550977945327","0.9989550977945327"
"9600","0.9988509315252304","0.9988509315252304","0.9988509315252304"
"9700","0.9992187666893005","0.9992187666893005","0.9992187666893005"
"9800","0.9993261885643006","0.9993261885643006","0.9993261885643006"
"9900","0.9992578309774399","0.9992578309774399","0.9992578309774399"
"10000","0.9990169459581375","0.9990169459581375","0.9990169459581375"
