"Step","counting_medium_decoder_nope_perm_variant_0 - loss","counting_medium_decoder_nope_perm_variant_0 - loss__MIN","counting_medium_decoder_nope_perm_variant_0 - loss__MAX"
"100","2.1352673101425172","2.1352673101425172","2.1352673101425172"
"200","1.4688941830396651","1.4688941830396651","1.4688941830396651"
"300","0.6101817291975021","0.6101817291975021","0.6101817291975021"
"400","0.25563491687178613","0.25563491687178613","0.25563491687178613"
"500","0.24541680626571177","0.24541680626571177","0.24541680626571177"
"600","0.1619017305225134","0.1619017305225134","0.1619017305225134"
"700","0.15015966210514306","0.15015966210514306","0.15015966210514306"
"800","0.1039092504605651","0.1039092504605651","0.1039092504605651"
"900","0.11489515036344528","0.11489515036344528","0.11489515036344528"
"1000","0.09868533942848444","0.09868533942848444","0.09868533942848444"
"1100","0.13793487537652255","0.13793487537652255","0.13793487537652255"
"1200","0.07157240217551589","0.07157240217551589","0.07157240217551589"
"1300","0.07202188916504383","0.07202188916504383","0.07202188916504383"
"1400","0.10475827990099788","0.10475827990099788","0.10475827990099788"
"1500","0.06351054489612579","0.06351054489612579","0.06351054489612579"
"1600","0.0456134576164186","0.0456134576164186","0.0456134576164186"
"1700","0.0483388976380229","0.0483388976380229","0.0483388976380229"
"1800","0.05716172194108367","0.05716172194108367","0.05716172194108367"
"1900","0.02153315531089902","0.02153315531089902","0.02153315531089902"
"2000","0.06681306918151676","0.06681306918151676","0.06681306918151676"
"2100","0.01694273976609111","0.01694273976609111","0.01694273976609111"
"2200","0.02289659555070102","0.02289659555070102","0.02289659555070102"
"2300","0.026961497231386602","0.026961497231386602","0.026961497231386602"
"2400","0.034075783051084725","0.034075783051084725","0.034075783051084725"
"2500","0.024365104734897614","0.024365104734897614","0.024365104734897614"
"2600","0.01278387038037181","0.01278387038037181","0.01278387038037181"
"2700","0.027986034038476645","0.027986034038476645","0.027986034038476645"
"2800","0.01403634537709877","0.01403634537709877","0.01403634537709877"
"2900","0.011686236460227518","0.011686236460227518","0.011686236460227518"
"3000","0.023356338531011715","0.023356338531011715","0.023356338531011715"
"3100","0.00753725555492565","0.00753725555492565","0.00753725555492565"
"3200","0.009526376718422398","0.009526376718422398","0.009526376718422398"
"3300","0.010634030334185808","0.010634030334185808","0.010634030334185808"
"3400","0.006570283960318193","0.006570283960318193","0.006570283960318193"
"3500","0.008836419314611703","0.008836419314611703","0.008836419314611703"
"3600","0.0063143097038846465","0.0063143097038846465","0.0063143097038846465"
"3700","0.006061852127313614","0.006061852127313614","0.006061852127313614"
"3800","0.004987540086149238","0.004987540086149238","0.004987540086149238"
"3900","0.00502319925581105","0.00502319925581105","0.00502319925581105"
"4000","0.004555281566572375","0.004555281566572375","0.004555281566572375"
"4100","0.0031924557947786525","0.0031924557947786525","0.0031924557947786525"
"4200","0.003588291519554332","0.003588291519554332","0.003588291519554332"
"4300","0.0023562513763317836","0.0023562513763317836","0.0023562513763317836"
"4400","0.003562942219141405","0.003562942219141405","0.003562942219141405"
"4500","0.0014610802997776773","0.0014610802997776773","0.0014610802997776773"
"4600","0.002411390176566783","0.002411390176566783","0.002411390176566783"
"4700","0.0019376419419131707","0.0019376419419131707","0.0019376419419131707"
"4800","0.0017992987994512077","0.0017992987994512077","0.0017992987994512077"
"4900","0.0019571879418799655","0.0019571879418799655","0.0019571879418799655"
"5000","0.0019897743858746254","0.0019897743858746254","0.0019897743858746254"
"5100","0.0020274093384068693","0.0020274093384068693","0.0020274093384068693"
"5200","0.001356496264488669","0.001356496264488669","0.001356496264488669"
"5300","0.0016892413211462554","0.0016892413211462554","0.0016892413211462554"
"5400","0.0018219470539770554","0.0018219470539770554","0.0018219470539770554"
"5500","0.001121184777803137","0.001121184777803137","0.001121184777803137"
"5600","0.001646833262493601","0.001646833262493601","0.001646833262493601"
"5700","0.0014328156988631234","0.0014328156988631234","0.0014328156988631234"
"5800","0.0016437539215257858","0.0016437539215257858","0.0016437539215257858"
"5900","0.0012672661743999925","0.0012672661743999925","0.0012672661743999925"
"6000","0.001849368093389785","0.001849368093389785","0.001849368093389785"
"6100","0.001446122614433989","0.001446122614433989","0.001446122614433989"
"6200","0.0015659261842665727","0.0015659261842665727","0.0015659261842665727"
"6300","0.0014337221321329707","0.0014337221321329707","0.0014337221321329707"
"6400","0.001839559032523539","0.001839559032523539","0.001839559032523539"
"6500","0.0018033700923842844","0.0018033700923842844","0.0018033700923842844"
"6600","0.0011656737913290271","0.0011656737913290271","0.0011656737913290271"
"6700","0.0016844893853703979","0.0016844893853703979","0.0016844893853703979"
"6800","0.0015678999315423426","0.0015678999315423426","0.0015678999315423426"
"6900","0.001330041459223139","0.001330041459223139","0.001330041459223139"
"7000","0.0014873557368991896","0.0014873557368991896","0.0014873557368991896"
"7100","0.001423078358566272","0.001423078358566272","0.001423078358566272"
"7200","0.00184057457750896","0.00184057457750896","0.00184057457750896"
"7300","0.002224436811738997","0.002224436811738997","0.002224436811738997"
"7400","0.0009414455937076128","0.0009414455937076128","0.0009414455937076128"
"7500","0.0012787845157436095","0.0012787845157436095","0.0012787845157436095"
"7600","0.0011584917132131522","0.0011584917132131522","0.0011584917132131522"
"7700","0.0014655295026022941","0.0014655295026022941","0.0014655295026022941"
"7800","0.0015433988919539843","0.0015433988919539843","0.0015433988919539843"
"7900","0.0012539656567241765","0.0012539656567241765","0.0012539656567241765"
"8000","0.0015147906476340723","0.0015147906476340723","0.0015147906476340723"
"8100","0.0012821945206815144","0.0012821945206815144","0.0012821945206815144"
"8200","0.0010534305488545215","0.0010534305488545215","0.0010534305488545215"
"8300","0.001463792164940969","0.001463792164940969","0.001463792164940969"
"8400","0.002114356952442904","0.002114356952442904","0.002114356952442904"
"8500","0.0006602106901118531","0.0006602106901118531","0.0006602106901118531"
"8600","0.001008442633828963","0.001008442633828963","0.001008442633828963"
"8700","0.0012911392663227162","0.0012911392663227162","0.0012911392663227162"
"8800","0.001562724003160838","0.001562724003160838","0.001562724003160838"
"8900","0.001350967376929475","0.001350967376929475","0.001350967376929475"
"9000","0.001123872775278869","0.001123872775278869","0.001123872775278869"
"9100","0.0013165676809876459","0.0013165676809876459","0.0013165676809876459"
"9200","0.0014603808565152576","0.0014603808565152576","0.0014603808565152576"
"9300","0.001085777658954612","0.001085777658954612","0.001085777658954612"
"9400","0.0017382485790585634","0.0017382485790585634","0.0017382485790585634"
"9500","0.0013582661635155092","0.0013582661635155092","0.0013582661635155092"
"9600","0.00086648303848051","0.00086648303848051","0.00086648303848051"
"9700","0.0015977055263647344","0.0015977055263647344","0.0015977055263647344"
"9800","0.001955543570657028","0.001955543570657028","0.001955543570657028"
"9900","0.0011325432833109517","0.0011325432833109517","0.0011325432833109517"
"10000","0.0007484044948068914","0.0007484044948068914","0.0007484044948068914"
