"Step","counting_extra_small_encoder_perm_invariant_0 - loss","counting_extra_small_encoder_perm_invariant_0 - loss__MIN","counting_extra_small_encoder_perm_invariant_0 - loss__MAX"
"100","2.6688548743724825","2.6688548743724825","2.6688548743724825"
"200","1.3884279441833496","1.3884279441833496","1.3884279441833496"
"300","0.8113002115488053","0.8113002115488053","0.8113002115488053"
"400","0.47097616851329804","0.47097616851329804","0.47097616851329804"
"500","0.2793158176541328","0.2793158176541328","0.2793158176541328"
"600","0.23571778148412703","0.23571778148412703","0.23571778148412703"
"700","0.464869284927845","0.464869284927845","0.464869284927845"
"800","0.12765568047761916","0.12765568047761916","0.12765568047761916"
"900","0.3343179325759411","0.3343179325759411","0.3343179325759411"
"1000","0.19971286036074162","0.19971286036074162","0.19971286036074162"
"1100","0.09580453626811504","0.09580453626811504","0.09580453626811504"
"1200","0.47860867489129305","0.47860867489129305","0.47860867489129305"
"1300","0.25718368746340275","0.25718368746340275","0.25718368746340275"
"1400","0.1502944827824831","0.1502944827824831","0.1502944827824831"
"1500","0.06693707555532455","0.06693707555532455","0.06693707555532455"
"1600","0.22580728359520436","0.22580728359520436","0.22580728359520436"
"1700","0.03355610271915793","0.03355610271915793","0.03355610271915793"
"1800","0.4465186065621674","0.4465186065621674","0.4465186065621674"
"1900","0.10328683074563742","0.10328683074563742","0.10328683074563742"
"2000","0.034230447933077814","0.034230447933077814","0.034230447933077814"
"2100","0.3419862849637866","0.3419862849637866","0.3419862849637866"
"2200","0.04690035216510296","0.04690035216510296","0.04690035216510296"
"2300","0.026410364229232073","0.026410364229232073","0.026410364229232073"
"2400","0.09317176180891693","0.09317176180891693","0.09317176180891693"
"2500","0.022305195666849614","0.022305195666849614","0.022305195666849614"
"2600","0.022536752466112375","0.022536752466112375","0.022536752466112375"
"2700","0.11596032238565385","0.11596032238565385","0.11596032238565385"
"2800","0.018092023315839468","0.018092023315839468","0.018092023315839468"
"2900","0.01402644747402519","0.01402644747402519","0.01402644747402519"
"3000","0.010284013485070319","0.010284013485070319","0.010284013485070319"
"3100","0.04797953433822841","0.04797953433822841","0.04797953433822841"
"3200","0.011074337824247778","0.011074337824247778","0.011074337824247778"
"3300","0.008160271961241961","0.008160271961241961","0.008160271961241961"
"3400","0.008980104986112564","0.008980104986112564","0.008980104986112564"
"3500","0.008061856511048973","0.008061856511048973","0.008061856511048973"
"3600","0.010245317574590445","0.010245317574590445","0.010245317574590445"
"3700","0.0066515873721800746","0.0066515873721800746","0.0066515873721800746"
"3800","0.030131822715047746","0.030131822715047746","0.030131822715047746"
"3900","0.005698322709649801","0.005698322709649801","0.005698322709649801"
"4000","0.004545953290071339","0.004545953290071339","0.004545953290071339"
"4100","0.003680969491833821","0.003680969491833821","0.003680969491833821"
"4200","0.00671941494452767","0.00671941494452767","0.00671941494452767"
"4300","0.003858800018206239","0.003858800018206239","0.003858800018206239"
"4400","0.004009203738532961","0.004009203738532961","0.004009203738532961"
"4500","0.004736598186427727","0.004736598186427727","0.004736598186427727"
"4600","0.0036315130325965585","0.0036315130325965585","0.0036315130325965585"
"4700","0.003934120945632458","0.003934120945632458","0.003934120945632458"
"4800","0.003642999678850174","0.003642999678850174","0.003642999678850174"
"4900","0.0038630315969930963","0.0038630315969930963","0.0038630315969930963"
"5000","0.0033568727597594263","0.0033568727597594263","0.0033568727597594263"
"5100","0.00360730501532089","0.00360730501532089","0.00360730501532089"
"5200","0.003109584465273656","0.003109584465273656","0.003109584465273656"
"5300","0.006900684611755423","0.006900684611755423","0.006900684611755423"
"5400","0.003552435871679336","0.003552435871679336","0.003552435871679336"
"5500","0.002331756094354205","0.002331756094354205","0.002331756094354205"
"5600","0.0024953244248172267","0.0024953244248172267","0.0024953244248172267"
"5700","0.0026543786114780234","0.0026543786114780234","0.0026543786114780234"
