"Step","counting_extra_small_encoder_nope_perm_variant_0 - loss","counting_extra_small_encoder_nope_perm_variant_0 - loss__MIN","counting_extra_small_encoder_nope_perm_variant_0 - loss__MAX"
"3900","1.26235524892807","1.26235524892807","1.26235524892807"
"4000","1.2478698587417603","1.2478698587417603","1.2478698587417603"
"4100","1.238158367872238","1.238158367872238","1.238158367872238"
"4200","1.2398159420490265","1.2398159420490265","1.2398159420490265"
"4300","1.2337367916107178","1.2337367916107178","1.2337367916107178"
"4400","1.2533136689662934","1.2533136689662934","1.2533136689662934"
"4500","1.2289780938625336","1.2289780938625336","1.2289780938625336"
"4600","1.2266864001750946","1.2266864001750946","1.2266864001750946"
"4700","1.2225624203681946","1.2225624203681946","1.2225624203681946"
"4800","1.2261794781684876","1.2261794781684876","1.2261794781684876"
"4900","1.2145013725757599","1.2145013725757599","1.2145013725757599"
"5000","1.2145648860931397","1.2145648860931397","1.2145648860931397"
"5100","1.2140953946113586","1.2140953946113586","1.2140953946113586"
"5200","1.200633863210678","1.200633863210678","1.200633863210678"
"5300","1.2066389393806458","1.2066389393806458","1.2066389393806458"
"5400","1.1994622492790221","1.1994622492790221","1.1994622492790221"
"5500","1.203477373123169","1.203477373123169","1.203477373123169"
"5600","1.2016263723373413","1.2016263723373413","1.2016263723373413"
"5700","1.2007182621955872","1.2007182621955872","1.2007182621955872"
"5800","1.1970463228225707","1.1970463228225707","1.1970463228225707"
"5900","1.2098953568935393","1.2098953568935393","1.2098953568935393"
"6000","1.207405846118927","1.207405846118927","1.207405846118927"
"6100","1.1966204977035522","1.1966204977035522","1.1966204977035522"
"6200","1.1888678646087647","1.1888678646087647","1.1888678646087647"
"6300","1.1974476158618927","1.1974476158618927","1.1974476158618927"
"6400","1.1998524367809296","1.1998524367809296","1.1998524367809296"
"6500","1.191458476781845","1.191458476781845","1.191458476781845"
"6600","1.1847525799274445","1.1847525799274445","1.1847525799274445"
"6700","1.1942312264442443","1.1942312264442443","1.1942312264442443"
"6800","1.1777512431144714","1.1777512431144714","1.1777512431144714"
"6900","1.1828839182853699","1.1828839182853699","1.1828839182853699"
"7000","1.1800722408294677","1.1800722408294677","1.1800722408294677"
"7100","1.190955058336258","1.190955058336258","1.190955058336258"
"7200","1.18342005610466","1.18342005610466","1.18342005610466"
"7300","1.1774174070358276","1.1774174070358276","1.1774174070358276"
"7400","1.1725922846794128","1.1725922846794128","1.1725922846794128"
"7500","1.1714726126194","1.1714726126194","1.1714726126194"
"7600","1.1838114702701568","1.1838114702701568","1.1838114702701568"
"7700","1.1739586472511292","1.1739586472511292","1.1739586472511292"
"7800","1.169589533805847","1.169589533805847","1.169589533805847"
"7900","1.1705057322978973","1.1705057322978973","1.1705057322978973"
"8000","1.1737200939655303","1.1737200939655303","1.1737200939655303"
"8100","1.1614603865146638","1.1614603865146638","1.1614603865146638"
"8200","1.1709208011627197","1.1709208011627197","1.1709208011627197"
"8300","1.1701510703563691","1.1701510703563691","1.1701510703563691"
"8400","1.1619887506961823","1.1619887506961823","1.1619887506961823"
"8500","1.1568056488037108","1.1568056488037108","1.1568056488037108"
"8600","1.164329833984375","1.164329833984375","1.164329833984375"
"8700","1.160377916097641","1.160377916097641","1.160377916097641"
"8800","1.1599979877471924","1.1599979877471924","1.1599979877471924"
"8900","1.1613736653327942","1.1613736653327942","1.1613736653327942"
"9000","1.1518751108646392","1.1518751108646392","1.1518751108646392"
"9100","1.1517339944839478","1.1517339944839478","1.1517339944839478"
"9200","1.162515617609024","1.162515617609024","1.162515617609024"
"9300","1.1592688536643982","1.1592688536643982","1.1592688536643982"
"9400","1.1494515025615692","1.1494515025615692","1.1494515025615692"
"9500","1.1534764409065246","1.1534764409065246","1.1534764409065246"
"9600","1.1607869750261306","1.1607869750261306","1.1607869750261306"
"9700","1.149707099199295","1.149707099199295","1.149707099199295"
"9800","1.1454365372657775","1.1454365372657775","1.1454365372657775"
"9900","1.146829479932785","1.146829479932785","1.146829479932785"
"10000","1.1432599127292633","1.1432599127292633","1.1432599127292633"
