"Step","counting_extra_small_encoder_nope_perm_variant_0 - loss","counting_extra_small_encoder_nope_perm_variant_0 - loss__MIN","counting_extra_small_encoder_nope_perm_variant_0 - loss__MAX"
"100","2.7636993956565856","2.7636993956565856","2.7636993956565856"
"200","2.0038181912899016","2.0038181912899016","2.0038181912899016"
"300","1.925850590467453","1.925850590467453","1.925850590467453"
"400","1.8764816987514497","1.8764816987514497","1.8764816987514497"
"500","1.8390944302082062","1.8390944302082062","1.8390944302082062"
"600","1.7938510704040527","1.7938510704040527","1.7938510704040527"
"700","1.7698582875728608","1.7698582875728608","1.7698582875728608"
"800","1.7290065360069276","1.7290065360069276","1.7290065360069276"
"900","1.7009316658973694","1.7009316658973694","1.7009316658973694"
"1000","1.6750712490081787","1.6750712490081787","1.6750712490081787"
"1100","1.6480829513072968","1.6480829513072968","1.6480829513072968"
"1200","1.6327781438827516","1.6327781438827516","1.6327781438827516"
"1300","1.6021632385253906","1.6021632385253906","1.6021632385253906"
"1400","1.583218914270401","1.583218914270401","1.583218914270401"
"1500","1.55098726272583","1.55098726272583","1.55098726272583"
"1600","1.5402917885780334","1.5402917885780334","1.5402917885780334"
"1700","1.5279322099685668","1.5279322099685668","1.5279322099685668"
"1800","1.5015560603141784","1.5015560603141784","1.5015560603141784"
"1900","1.486551969051361","1.486551969051361","1.486551969051361"
"2000","1.4623341345787049","1.4623341345787049","1.4623341345787049"
"2100","1.4427768123149871","1.4427768123149871","1.4427768123149871"
"2200","1.44039018034935","1.44039018034935","1.44039018034935"
"2300","1.4314172863960266","1.4314172863960266","1.4314172863960266"
"2400","1.3962653732299806","1.3962653732299806","1.3962653732299806"
"2500","1.3930728185176848","1.3930728185176848","1.3930728185176848"
"2600","1.3743363213539124","1.3743363213539124","1.3743363213539124"
"2700","1.370761115550995","1.370761115550995","1.370761115550995"
"2800","1.3506739234924316","1.3506739234924316","1.3506739234924316"
"2900","1.3452710962295533","1.3452710962295533","1.3452710962295533"
"3000","1.3322513496875763","1.3322513496875763","1.3322513496875763"
"3100","1.3253646636009215","1.3253646636009215","1.3253646636009215"
"3200","1.3180615818500518","1.3180615818500518","1.3180615818500518"
"3300","1.3017397046089172","1.3017397046089172","1.3017397046089172"
"3400","1.2978833413124085","1.2978833413124085","1.2978833413124085"
"3500","1.2958393812179565","1.2958393812179565","1.2958393812179565"
"3600","1.2754714751243592","1.2754714751243592","1.2754714751243592"
"3700","1.2701350569725036","1.2701350569725036","1.2701350569725036"
"3800","1.262891365289688","1.262891365289688","1.262891365289688"
