"Step","reversed_addition_len_gen_extra_small_deep_encoder_0_fixed - val_loss","reversed_addition_len_gen_extra_small_deep_encoder_0_fixed - val_loss__MIN","reversed_addition_len_gen_extra_small_deep_encoder_0_fixed - val_loss__MAX"
"500","2.11169282913208","2.11169282913208","2.11169282913208"
"1000","2.0882386493682863","2.0882386493682863","2.0882386493682863"
"1500","2.075981492996216","2.075981492996216","2.075981492996216"
"2000","2.060354824066162","2.060354824066162","2.060354824066162"
"2500","2.0595483112335207","2.0595483112335207","2.0595483112335207"
"3000","2.0409936237335207","2.0409936237335207","2.0409936237335207"
"3500","2.0484680271148683","2.0484680271148683","2.0484680271148683"
"4000","2.037607078552246","2.037607078552246","2.037607078552246"
"4500","2.0495208358764647","2.0495208358764647","2.0495208358764647"
"5000","2.0291766929626465","2.0291766929626465","2.0291766929626465"
"5500","2.00439847946167","2.00439847946167","2.00439847946167"
"6000","2.00018385887146","2.00018385887146","2.00018385887146"
"6500","1.9158615970611572","1.9158615970611572","1.9158615970611572"
"7000","1.8107380962371826","1.8107380962371826","1.8107380962371826"
"7500","1.8167673110961915","1.8167673110961915","1.8167673110961915"
"8000","1.8239112854003907","1.8239112854003907","1.8239112854003907"
"8500","1.7973772192001343","1.7973772192001343","1.7973772192001343"
"9000","1.8146532249450684","1.8146532249450684","1.8146532249450684"
"9500","1.7971406602859497","1.7971406602859497","1.7971406602859497"
"10000","1.806915488243103","1.806915488243103","1.806915488243103"
"10500","1.8973611164093018","1.8973611164093018","1.8973611164093018"
"11000","1.7351905822753906","1.7351905822753906","1.7351905822753906"
"11500","1.6626755285263062","1.6626755285263062","1.6626755285263062"
"12000","1.4909301567077637","1.4909301567077637","1.4909301567077637"
"12500","1.4802348709106445","1.4802348709106445","1.4802348709106445"
"13000","1.4779002475738525","1.4779002475738525","1.4779002475738525"
"13500","1.4866727113723754","1.4866727113723754","1.4866727113723754"
"14000","1.486457724571228","1.486457724571228","1.486457724571228"
"14500","1.484544687271118","1.484544687271118","1.484544687271118"
"15000","1.491673231124878","1.491673231124878","1.491673231124878"
"15500","1.478032808303833","1.478032808303833","1.478032808303833"
"16000","1.5072363376617433","1.5072363376617433","1.5072363376617433"
"16500","1.4833497095108032","1.4833497095108032","1.4833497095108032"
"17000","1.4795094060897827","1.4795094060897827","1.4795094060897827"
"17500","1.4756395721435547","1.4756395721435547","1.4756395721435547"
"18000","1.4779363346099854","1.4779363346099854","1.4779363346099854"
"18500","1.4718427181243896","1.4718427181243896","1.4718427181243896"
"19000","1.4773998260498047","1.4773998260498047","1.4773998260498047"
"19500","1.483950138092041","1.483950138092041","1.483950138092041"
"20000","1.5539322090148926","1.5539322090148926","1.5539322090148926"
"20500","1.4756934976577758","1.4756934976577758","1.4756934976577758"
"21000","1.4754571580886842","1.4754571580886842","1.4754571580886842"
"21500","1.4820823287963867","1.4820823287963867","1.4820823287963867"
"22000","1.4800944662094115","1.4800944662094115","1.4800944662094115"
"22500","1.4758931636810302","1.4758931636810302","1.4758931636810302"
"23000","1.4801005935668945","1.4801005935668945","1.4801005935668945"
"23500","1.4781132793426515","1.4781132793426515","1.4781132793426515"
"24000","1.4765920066833496","1.4765920066833496","1.4765920066833496"
"24500","1.4815594530105591","1.4815594530105591","1.4815594530105591"
"25000","1.4742457151412964","1.4742457151412964","1.4742457151412964"
"25500","1.4753613567352295","1.4753613567352295","1.4753613567352295"
"26000","1.471697874069214","1.471697874069214","1.471697874069214"
"26500","1.5463664531707764","1.5463664531707764","1.5463664531707764"
"27000","1.480917820930481","1.480917820930481","1.480917820930481"
"27500","1.5274488258361816","1.5274488258361816","1.5274488258361816"
"28000","1.4774624300003052","1.4774624300003052","1.4774624300003052"
"28500","1.473266716003418","1.473266716003418","1.473266716003418"
"29000","1.477075352668762","1.477075352668762","1.477075352668762"
"29500","1.4736441993713378","1.4736441993713378","1.4736441993713378"
"30000","1.4752613019943237","1.4752613019943237","1.4752613019943237"
