"Step","count3_small_decoder_0 - loss","count3_small_decoder_0 - loss__MIN","count3_small_decoder_0 - loss__MAX"
"100","3.89081663608551","3.89081663608551","3.89081663608551"
"200","3.55060040473938","3.55060040473938","3.55060040473938"
"300","3.435479984283447","3.435479984283447","3.435479984283447"
"400","3.3962203788757326","3.3962203788757326","3.3962203788757326"
"500","3.378063840866089","3.378063840866089","3.378063840866089"
"600","3.3641563510894774","3.3641563510894774","3.3641563510894774"
"700","3.3517262172698974","3.3517262172698974","3.3517262172698974"
"800","3.3452239727973936","3.3452239727973936","3.3452239727973936"
"900","3.337800302505493","3.337800302505493","3.337800302505493"
"1000","3.3309478855133055","3.3309478855133055","3.3309478855133055"
"1100","3.3277891659736634","3.3277891659736634","3.3277891659736634"
"1200","3.3216150856018065","3.3216150856018065","3.3216150856018065"
"1300","3.317398145198822","3.317398145198822","3.317398145198822"
"1400","3.315071668624878","3.315071668624878","3.315071668624878"
"1500","3.3119191479682923","3.3119191479682923","3.3119191479682923"
"1600","3.3070173048973084","3.3070173048973084","3.3070173048973084"
"1700","3.3033623695373535","3.3033623695373535","3.3033623695373535"
"1800","3.298163616657257","3.298163616657257","3.298163616657257"
"1900","3.2957162284851074","3.2957162284851074","3.2957162284851074"
"2000","3.2916625213623045","3.2916625213623045","3.2916625213623045"
"2100","3.2886871886253357","3.2886871886253357","3.2886871886253357"
"2200","3.2833409452438356","3.2833409452438356","3.2833409452438356"
"2300","3.2837058901786804","3.2837058901786804","3.2837058901786804"
"2400","3.2814131212234496","3.2814131212234496","3.2814131212234496"
"2500","3.279663665294647","3.279663665294647","3.279663665294647"
"2600","3.2740507078170777","3.2740507078170777","3.2740507078170777"
"2700","3.2697834539413453","3.2697834539413453","3.2697834539413453"
"2800","3.2683190155029296","3.2683190155029296","3.2683190155029296"
"2900","3.2658306407928466","3.2658306407928466","3.2658306407928466"
"3000","3.263232345581055","3.263232345581055","3.263232345581055"
"3100","3.2587069702148437","3.2587069702148437","3.2587069702148437"
"3200","3.258728232383728","3.258728232383728","3.258728232383728"
"3300","3.255939621925354","3.255939621925354","3.255939621925354"
"3400","3.2503364086151123","3.2503364086151123","3.2503364086151123"
"3500","3.2482322669029235","3.2482322669029235","3.2482322669029235"
"3600","3.251410493850708","3.251410493850708","3.251410493850708"
"3700","3.245627644062042","3.245627644062042","3.245627644062042"
"3800","3.2470365357398987","3.2470365357398987","3.2470365357398987"
"3900","3.245369153022766","3.245369153022766","3.245369153022766"
"4000","3.2419569063186646","3.2419569063186646","3.2419569063186646"
"4100","3.2392026448249815","3.2392026448249815","3.2392026448249815"
"4200","3.2354539251327514","3.2354539251327514","3.2354539251327514"
"4300","3.2354607701301576","3.2354607701301576","3.2354607701301576"
"4400","3.2343160057067872","3.2343160057067872","3.2343160057067872"
"4500","3.230825617313385","3.230825617313385","3.230825617313385"
"4600","3.227233169078827","3.227233169078827","3.227233169078827"
"4700","3.230312910079956","3.230312910079956","3.230312910079956"
"4800","3.222804262638092","3.222804262638092","3.222804262638092"
"4900","3.2250009870529173","3.2250009870529173","3.2250009870529173"
"5000","3.223358907699585","3.223358907699585","3.223358907699585"
