"Step","reversed_addition_small_decoder_0 - train_loss","reversed_addition_small_decoder_0 - train_loss__MIN","reversed_addition_small_decoder_0 - train_loss__MAX"
"1","2.744892120361328","2.744892120361328","2.744892120361328"
"2","2.732450485229492","2.732450485229492","2.732450485229492"
"3","2.7129783630371094","2.7129783630371094","2.7129783630371094"
"4","2.6792449951171875","2.6792449951171875","2.6792449951171875"
"5","2.642566680908203","2.642566680908203","2.642566680908203"
"6","2.601348876953125","2.601348876953125","2.601348876953125"
"7","2.5784339904785156","2.5784339904785156","2.5784339904785156"
"8","2.535032272338867","2.535032272338867","2.535032272338867"
"9","2.5083093643188477","2.5083093643188477","2.5083093643188477"
"10","2.467466354370117","2.467466354370117","2.467466354370117"
"11","2.433521270751953","2.433521270751953","2.433521270751953"
"12","2.402104377746582","2.402104377746582","2.402104377746582"
"13","2.353199005126953","2.353199005126953","2.353199005126953"
"14","2.3391504287719727","2.3391504287719727","2.3391504287719727"
"15","2.300062656402588","2.300062656402588","2.300062656402588"
"16","2.287698268890381","2.287698268890381","2.287698268890381"
"17","2.262730121612549","2.262730121612549","2.262730121612549"
"18","2.2377214431762695","2.2377214431762695","2.2377214431762695"
"19","2.2423620223999023","2.2423620223999023","2.2423620223999023"
"20","2.2288670539855957","2.2288670539855957","2.2288670539855957"
"21","2.2326736450195312","2.2326736450195312","2.2326736450195312"
"22","2.2141714096069336","2.2141714096069336","2.2141714096069336"
"23","2.200249195098877","2.200249195098877","2.200249195098877"
"24","2.1957764625549316","2.1957764625549316","2.1957764625549316"
"25","2.184746026992798","2.184746026992798","2.184746026992798"
"26","2.191619873046875","2.191619873046875","2.191619873046875"
"27","2.1843409538269043","2.1843409538269043","2.1843409538269043"
"28","2.181757926940918","2.181757926940918","2.181757926940918"
"29","2.1696979999542236","2.1696979999542236","2.1696979999542236"
"30","2.1682913303375244","2.1682913303375244","2.1682913303375244"
"31","2.168729305267334","2.168729305267334","2.168729305267334"
"32","2.145333766937256","2.145333766937256","2.145333766937256"
"33","2.150308609008789","2.150308609008789","2.150308609008789"
"34","2.142096996307373","2.142096996307373","2.142096996307373"
"35","2.1311991214752197","2.1311991214752197","2.1311991214752197"
"36","2.1399738788604736","2.1399738788604736","2.1399738788604736"
"37","2.1353750228881836","2.1353750228881836","2.1353750228881836"
"38","2.132483959197998","2.132483959197998","2.132483959197998"
"39","2.110123634338379","2.110123634338379","2.110123634338379"
"40","2.1241304874420166","2.1241304874420166","2.1241304874420166"
"41","2.1081089973449707","2.1081089973449707","2.1081089973449707"
"42","2.102363348007202","2.102363348007202","2.102363348007202"
