"Step","counting_medium_decoder_perm_invariant_0 - loss","counting_medium_decoder_perm_invariant_0 - loss__MIN","counting_medium_decoder_perm_invariant_0 - loss__MAX"
"100","1.7163152652978897","1.7163152652978897","1.7163152652978897"
"200","0.6796810682117939","0.6796810682117939","0.6796810682117939"
"300","0.6995856226980686","0.6995856226980686","0.6995856226980686"
"400","0.4510873033851385","0.4510873033851385","0.4510873033851385"
"500","0.18752762638032436","0.18752762638032436","0.18752762638032436"
"600","0.20458349384367466","0.20458349384367466","0.20458349384367466"
"700","0.3124701637774706","0.3124701637774706","0.3124701637774706"
"800","0.11085570927709341","0.11085570927709341","0.11085570927709341"
"900","0.12684847941622138","0.12684847941622138","0.12684847941622138"
"1000","0.03631579778157175","0.03631579778157175","0.03631579778157175"
"1100","0.07652323715388774","0.07652323715388774","0.07652323715388774"
"1200","0.0525794776622206","0.0525794776622206","0.0525794776622206"
"1300","0.0542466425197199","0.0542466425197199","0.0542466425197199"
"1400","0.02337912252638489","0.02337912252638489","0.02337912252638489"
"1500","0.03617103610187769","0.03617103610187769","0.03617103610187769"
"1600","0.012860685507766902","0.012860685507766902","0.012860685507766902"
"1700","0.022735713771544395","0.022735713771544395","0.022735713771544395"
"1800","0.02609492918243632","0.02609492918243632","0.02609492918243632"
"1900","0.012240460994653403","0.012240460994653403","0.012240460994653403"
"2000","0.01669204218778759","0.01669204218778759","0.01669204218778759"
"2100","0.015602482440881431","0.015602482440881431","0.015602482440881431"
"2200","0.010662186301779002","0.010662186301779002","0.010662186301779002"
"2300","0.01482573818648234","0.01482573818648234","0.01482573818648234"
"2400","0.014245433890027925","0.014245433890027925","0.014245433890027925"
"2500","0.009810056716669352","0.009810056716669352","0.009810056716669352"
"2600","0.00651451327605173","0.00651451327605173","0.00651451327605173"
"2700","0.007016226907726377","0.007016226907726377","0.007016226907726377"
"2800","0.01006490809842944","0.01006490809842944","0.01006490809842944"
"2900","0.0043158700340427455","0.0043158700340427455","0.0043158700340427455"
"3000","0.004860942187369801","0.004860942187369801","0.004860942187369801"
"3100","0.0055672654404770585","0.0055672654404770585","0.0055672654404770585"
"3200","0.004576705090003088","0.004576705090003088","0.004576705090003088"
"3300","0.005103857379290275","0.005103857379290275","0.005103857379290275"
"3400","0.0043165576725732535","0.0043165576725732535","0.0043165576725732535"
"3500","0.0031123553501674907","0.0031123553501674907","0.0031123553501674907"
"3600","0.003018298046372365","0.003018298046372365","0.003018298046372365"
"3700","0.0034477626957232135","0.0034477626957232135","0.0034477626957232135"
"3800","0.0028687226430338343","0.0028687226430338343","0.0028687226430338343"
"3900","0.002509823869186221","0.002509823869186221","0.002509823869186221"
"4000","0.002048808171530254","0.002048808171530254","0.002048808171530254"
"4100","0.0023181189043680207","0.0023181189043680207","0.0023181189043680207"
"4200","0.001190623739748844","0.001190623739748844","0.001190623739748844"
"4300","0.0013101761414145586","0.0013101761414145586","0.0013101761414145586"
"4400","0.0011521398799231974","0.0011521398799231974","0.0011521398799231974"
"4500","0.0011603187839500607","0.0011603187839500607","0.0011603187839500607"
"4600","0.0009433909221843351","0.0009433909221843351","0.0009433909221843351"
"4700","0.0011342253073962638","0.0011342253073962638","0.0011342253073962638"
"4800","0.0011702537209203","0.0011702537209203","0.0011702537209203"
"4900","0.0008503277092677308","0.0008503277092677308","0.0008503277092677308"
"5000","0.0011166534988660715","0.0011166534988660715","0.0011166534988660715"
"5100","0.001140242771798512","0.001140242771798512","0.001140242771798512"
"5200","0.000590565037819033","0.000590565037819033","0.000590565037819033"
"5300","0.0009365197079023346","0.0009365197079023346","0.0009365197079023346"
"5400","0.0006080219718933222","0.0006080219718933222","0.0006080219718933222"
"5500","0.0005440964738227194","0.0005440964738227194","0.0005440964738227194"
"5600","0.001324971531284973","0.001324971531284973","0.001324971531284973"
"5700","0.000650459584176133","0.000650459584176133","0.000650459584176133"
"5800","0.0006865473868310801","0.0006865473868310801","0.0006865473868310801"
"5900","0.0010796250354178482","0.0010796250354178482","0.0010796250354178482"
"6000","0.0006548050903438707","0.0006548050903438707","0.0006548050903438707"
"6100","0.0008589828699768987","0.0008589828699768987","0.0008589828699768987"
"6200","0.0008279181394391344","0.0008279181394391344","0.0008279181394391344"
"6300","0.0008410940378598752","0.0008410940378598752","0.0008410940378598752"
"6400","0.0008247593744818005","0.0008247593744818005","0.0008247593744818005"
"6500","0.0007451242804745561","0.0007451242804745561","0.0007451242804745561"
"6600","0.0005434121073994902","0.0005434121073994902","0.0005434121073994902"
"6700","0.0007119026322834543","0.0007119026322834543","0.0007119026322834543"
"6800","0.0007115524178152554","0.0007115524178152554","0.0007115524178152554"
"6900","0.0008082345318325679","0.0008082345318325679","0.0008082345318325679"
"7000","0.00041033006462384944","0.00041033006462384944","0.00041033006462384944"
"7100","0.0005203420479301713","0.0005203420479301713","0.0005203420479301713"
"7200","0.0006927236284536776","0.0006927236284536776","0.0006927236284536776"
"7300","0.0007888965831443784","0.0007888965831443784","0.0007888965831443784"
"7400","0.00041188100974977717","0.00041188100974977717","0.00041188100974977717"
"7500","0.0006064953786517435","0.0006064953786517435","0.0006064953786517435"
"7600","0.0006602788866803167","0.0006602788866803167","0.0006602788866803167"
"7700","0.0005565312333783368","0.0005565312333783368","0.0005565312333783368"
"7800","0.0003514886430821207","0.0003514886430821207","0.0003514886430821207"
"7900","0.0007271274815502693","0.0007271274815502693","0.0007271274815502693"
"8000","0.0006637750855588819","0.0006637750855588819","0.0006637750855588819"
"8100","0.00036014810888445936","0.00036014810888445936","0.00036014810888445936"
"8200","0.0005388967904764285","0.0005388967904764285","0.0005388967904764285"
"8300","0.0007671125016349834","0.0007671125016349834","0.0007671125016349834"
"8400","0.0004109868396699312","0.0004109868396699312","0.0004109868396699312"
"8500","0.0004600297336764925","0.0004600297336764925","0.0004600297336764925"
"8600","0.0007321721233711286","0.0007321721233711286","0.0007321721233711286"
"8700","0.0005318251850621891","0.0005318251850621891","0.0005318251850621891"
"8800","0.0005180225813455763","0.0005180225813455763","0.0005180225813455763"
"8900","0.00045464671246008947","0.00045464671246008947","0.00045464671246008947"
"9000","0.0007602022268838482","0.0007602022268838482","0.0007602022268838482"
"9100","0.0003962097746261861","0.0003962097746261861","0.0003962097746261861"
"9200","0.0005298768062675663","0.0005298768062675663","0.0005298768062675663"
"9300","0.0008636772504723922","0.0008636772504723922","0.0008636772504723922"
"9400","0.0003626076061482308","0.0003626076061482308","0.0003626076061482308"
"9500","0.0005271200011702603","0.0005271200011702603","0.0005271200011702603"
"9600","0.0005718919778155396","0.0005718919778155396","0.0005718919778155396"
"9700","0.0007228420828323579","0.0007228420828323579","0.0007228420828323579"
"9800","0.0004623502179128991","0.0004623502179128991","0.0004623502179128991"
"9900","0.000383956232926721","0.000383956232926721","0.000383956232926721"
"10000","0.0002884097723836021","0.0002884097723836021","0.0002884097723836021"
