"Step","count3_medium_encoder_0 - token_accuracy","count3_medium_encoder_0 - token_accuracy__MIN","count3_medium_encoder_0 - token_accuracy__MAX"
"100","0.05478515774011612","0.05478515774011612","0.05478515774011612"
"200","0.057418620884418486","0.057418620884418486","0.057418620884418486"
"300","0.05870768338441849","0.05870768338441849","0.05870768338441849"
"400","0.05832031354308129","0.05832031354308129","0.05832031354308129"
"500","0.058723959624767307","0.058723959624767307","0.058723959624767307"
"600","0.05932617336511612","0.05932617336511612","0.05932617336511612"
"700","0.05977864742279053","0.05977864742279053","0.05977864742279053"
"800","0.059007162749767306","0.059007162749767306","0.059007162749767306"
"900","0.06146159008145333","0.06146159008145333","0.06146159008145333"
"1000","0.060908204764127734","0.060908204764127734","0.060908204764127734"
"1100","0.06141927227377891","0.06141927227377891","0.06141927227377891"
"1200","0.06166341304779053","0.06166341304779053","0.06166341304779053"
"1300","0.06252278834581375","0.06252278834581375","0.06252278834581375"
"1400","0.061946616321802137","0.061946616321802137","0.061946616321802137"
"1500","0.062054038196802136","0.062054038196802136","0.062054038196802136"
"1600","0.06332682460546493","0.06332682460546493","0.06332682460546493"
"1700","0.06326497614383697","0.06326497614383697","0.06326497614383697"
"1800","0.06514648646116257","0.06514648646116257","0.06514648646116257"
"1900","0.06388021036982536","0.06388021036982536","0.06388021036982536"
"2000","0.06551758036017417","0.06551758036017417","0.06551758036017417"
"2100","0.06528646036982537","0.06528646036982537","0.06528646036982537"
"2200","0.0664192733168602","0.0664192733168602","0.0664192733168602"
"2300","0.06611979395151138","0.06611979395151138","0.06611979395151138"
"2400","0.06561523616313934","0.06561523616313934","0.06561523616313934"
"2500","0.06717122614383697","0.06717122614383697","0.06717122614383697"
"2600","0.06779948249459267","0.06779948249459267","0.06779948249459267"
"2700","0.0672786483168602","0.0672786483168602","0.0672786483168602"
"2800","0.0689648461341858","0.0689648461341858","0.0689648461341858"
"2900","0.06850260615348816","0.06850260615348816","0.06850260615348816"
"3000","0.0678092473745346","0.0678092473745346","0.0678092473745346"
"3100","0.06959961175918579","0.06959961175918579","0.06959961175918579"
"3200","0.06819336235523224","0.06819336235523224","0.06819336235523224"
"3300","0.0708528682589531","0.0708528682589531","0.0708528682589531"
"3400","0.07075846612453461","0.07075846612453461","0.07075846612453461"
"3500","0.07122721582651138","0.07122721582651138","0.07122721582651138"
"3600","0.0721907576918602","0.0721907576918602","0.0721907576918602"
"3700","0.07015625298023224","0.07015625298023224","0.07015625298023224"
"3800","0.07216471552848816","0.07216471552848816","0.07216471552848816"
"3900","0.07288737267255783","0.07288737267255783","0.07288737267255783"
"4000","0.07244791954755783","0.07244791954755783","0.07244791954755783"
"4100","0.07275065273046494","0.07275065273046494","0.07275065273046494"
"4200","0.07216471493244171","0.07216471493244171","0.07216471493244171"
"4300","0.07363281428813934","0.07363281428813934","0.07363281428813934"
"4400","0.07338216334581375","0.07338216334581375","0.07338216334581375"
"4500","0.07431966423988343","0.07431966423988343","0.07431966423988343"
"4600","0.07464192926883698","0.07464192926883698","0.07464192926883698"
"4700","0.0749772161245346","0.0749772161245346","0.0749772161245346"
"4800","0.07742187768220901","0.07742187768220901","0.07742187768220901"
"4900","0.0757552108168602","0.0757552108168602","0.0757552108168602"
