"Step","plain_addition_small_decoder_0 - val_loss","plain_addition_small_decoder_0 - val_loss__MIN","plain_addition_small_decoder_0 - val_loss__MAX"
"100","1.7071940839290618","1.7071940839290618","1.7071940839290618"
"200","1.56537313580513","1.56537313580513","1.56537313580513"
"300","1.5391451954841613","1.5391451954841613","1.5391451954841613"
"400","1.5230480790138246","1.5230480790138246","1.5230480790138246"
"500","1.4976133406162262","1.4976133406162262","1.4976133406162262"
"600","1.4775283980369567","1.4775283980369567","1.4775283980369567"
"700","1.4638301467895507","1.4638301467895507","1.4638301467895507"
"800","1.4424058878421784","1.4424058878421784","1.4424058878421784"
"900","1.4285525691509247","1.4285525691509247","1.4285525691509247"
"1000","1.418451075553894","1.418451075553894","1.418451075553894"
"1100","1.383750432729721","1.383750432729721","1.383750432729721"
"1200","1.2970660877227784","1.2970660877227784","1.2970660877227784"
"1300","1.2463209998607636","1.2463209998607636","1.2463209998607636"
"1400","1.233733583688736","1.233733583688736","1.233733583688736"
"1500","1.219793747663498","1.219793747663498","1.219793747663498"
"1600","1.2316606378555297","1.2316606378555297","1.2316606378555297"
"1700","1.2517784905433655","1.2517784905433655","1.2517784905433655"
"1800","1.2643024241924286","1.2643024241924286","1.2643024241924286"
"1900","1.306806561946869","1.306806561946869","1.306806561946869"
"2000","1.3960976898670197","1.3960976898670197","1.3960976898670197"
"2100","1.4690910029411315","1.4690910029411315","1.4690910029411315"
"2200","1.6032736945152282","1.6032736945152282","1.6032736945152282"
"2300","1.7248792135715485","1.7248792135715485","1.7248792135715485"
"2400","1.9148159301280976","1.9148159301280976","1.9148159301280976"
"2500","2.113101441860199","2.113101441860199","2.113101441860199"
"2600","2.268876893520355","2.268876893520355","2.268876893520355"
"2700","2.4519573283195495","2.4519573283195495","2.4519573283195495"
"2800","2.6147254133224487","2.6147254133224487","2.6147254133224487"
"2900","2.6915080165863037","2.6915080165863037","2.6915080165863037"
"3000","2.7492897629737856","2.7492897629737856","2.7492897629737856"
"3100","2.8494006752967835","2.8494006752967835","2.8494006752967835"
"3200","2.9403518867492675","2.9403518867492675","2.9403518867492675"
"3300","2.962201669216156","2.962201669216156","2.962201669216156"
"3400","3.0483824133872988","3.0483824133872988","3.0483824133872988"
"3500","3.0665488958358766","3.0665488958358766","3.0665488958358766"
"3600","3.1019466733932495","3.1019466733932495","3.1019466733932495"
"3700","3.1309156727790834","3.1309156727790834","3.1309156727790834"
"3800","3.199102005958557","3.199102005958557","3.199102005958557"
"3900","3.204425883293152","3.204425883293152","3.204425883293152"
"4000","3.2328621554374695","3.2328621554374695","3.2328621554374695"
