"Step","counting_medium_encoder_perm_invariant_0 - accuracy","counting_medium_encoder_perm_invariant_0 - accuracy__MIN","counting_medium_encoder_perm_invariant_0 - accuracy__MAX"
"100","0.6994694221019745","0.6994694221019745","0.6994694221019745"
"200","0.875504577755928","0.875504577755928","0.875504577755928"
"300","0.9461263209581375","0.9461263209581375","0.9461263209581375"
"400","0.9138509333133698","0.9138509333133698","0.9138509333133698"
"500","0.9587239795923232","0.9587239795923232","0.9587239795923232"
"600","0.9891276234388351","0.9891276234388351","0.9891276234388351"
"700","0.9807129114866256","0.9807129114866256","0.9807129114866256"
"800","0.9788639509677887","0.9788639509677887","0.9788639509677887"
"900","0.9901367390155792","0.9901367390155792","0.9901367390155792"
"1000","0.9927571797370911","0.9927571797370911","0.9927571797370911"
"1100","0.9950065279006958","0.9950065279006958","0.9950065279006958"
"1200","0.9399349141120911","0.9399349141120911","0.9399349141120911"
"1300","0.9967285364866256","0.9967285364866256","0.9967285364866256"
"1400","0.979407570362091","0.979407570362091","0.979407570362091"
"1500","0.9949837440252304","0.9949837440252304","0.9949837440252304"
"1600","0.9966797083616257","0.9966797083616257","0.9966797083616257"
"1700","0.9935644721984863","0.9935644721984863","0.9935644721984863"
"1800","0.9844271022081376","0.9844271022081376","0.9844271022081376"
"1900","0.9961002773046493","0.9961002773046493","0.9961002773046493"
"2000","0.9978548389673233","0.9978548389673233","0.9978548389673233"
"2100","0.994039734005928","0.994039734005928","0.994039734005928"
"2200","0.9982910370826721","0.9982910370826721","0.9982910370826721"
"2300","0.9979329645633698","0.9979329645633698","0.9979329645633698"
"2400","0.9987239784002304","0.9987239784002304","0.9987239784002304"
"2500","0.9988737183809281","0.9988737183809281","0.9988737183809281"
"2600","0.9976041883230209","0.9976041883230209","0.9976041883230209"
"2700","0.9980273622274399","0.9980273622274399","0.9980273622274399"
"2800","0.994430359005928","0.994430359005928","0.994430359005928"
"2900","0.9991862171888352","0.9991862171888352","0.9991862171888352"
"3000","0.9988541847467423","0.9988541847467423","0.9988541847467423"
"3100","0.9990462416410446","0.9990462416410446","0.9990462416410446"
"3200","0.9950358295440673","0.9950358295440673","0.9950358295440673"
"3300","0.9990885603427887","0.9990885603427887","0.9990885603427887"
"3400","0.9988411635160446","0.9988411635160446","0.9988411635160446"
"3500","0.9994531416893006","0.9994531416893006","0.9994531416893006"
"3600","0.9822916895151138","0.9822916895151138","0.9822916895151138"
"3700","0.9990918135643005","0.9990918135643005","0.9990918135643005"
"3800","0.9994498836994171","0.9994498836994171","0.9994498836994171"
"3900","0.9996191549301148","0.9996191549301148","0.9996191549301148"
"4000","0.9991276192665101","0.9991276192665101","0.9991276192665101"
"4100","0.99931316614151","0.99931316614151","0.99931316614151"
"4200","0.9995670706033707","0.9995670706033707","0.9995670706033707"
"4300","0.9992122572660446","0.9992122572660446","0.9992122572660446"
"4400","0.998811868429184","0.998811868429184","0.998811868429184"
"4500","0.999772145152092","0.999772145152092","0.999772145152092"
"4600","0.9997135502099991","0.9997135502099991","0.9997135502099991"
"4700","0.9995963674783707","0.9995963674783707","0.9995963674783707"
"4800","0.9997395932674408","0.9997395932674408","0.9997395932674408"
"4900","0.9966634297370911","0.9966634297370911","0.9966634297370911"
"5000","0.9997851645946503","0.9997851645946503","0.9997851645946503"
"5100","0.9995507955551147","0.9995507955551147","0.9995507955551147"
"5200","0.9993717610836029","0.9993717610836029","0.9993717610836029"
"5300","0.9969498896598816","0.9969498896598816","0.9969498896598816"
"5400","0.9993196767568588","0.9993196767568588","0.9993196767568588"
"5500","0.9998404997587204","0.9998404997587204","0.9998404997587204"
"5600","0.9997428488731385","0.9997428488731385","0.9997428488731385"
"5700","0.999541027545929","0.999541027545929","0.999541027545929"
"5800","0.9996256625652313","0.9996256625652313","0.9996256625652313"
"5900","0.9997656345367432","0.9997656345367432","0.9997656345367432"
"6000","0.9998144620656967","0.9998144620656967","0.9998144620656967"
"6100","0.9997363370656968","0.9997363370656968","0.9997363370656968"
"6200","0.999648449420929","0.999648449420929","0.999648449420929"
"6300","0.999677746295929","0.999677746295929","0.999677746295929"
"6400","0.9998535221815109","0.9998535221815109","0.9998535221815109"
"6500","0.9998470139503479","0.9998470139503479","0.9998470139503479"
"6600","0.9990494978427887","0.9990494978427887","0.9990494978427887"
"6700","0.9998665422201156","0.9998665422201156","0.9998665422201156"
"6800","0.9998437559604645","0.9998437559604645","0.9998437559604645"
"6900","0.9994629031419754","0.9994629031419754","0.9994629031419754"
"7000","0.9998763084411622","0.9998763084411622","0.9998763084411622"
"7100","0.9999121123552323","0.9999121123552323","0.9999121123552323"
"7200","0.9996289199590683","0.9996289199590683","0.9996289199590683"
"7300","0.9994433754682541","0.9994433754682541","0.9994433754682541"
"7400","0.9995280092954636","0.9995280092954636","0.9995280092954636"
"7500","0.9997200626134872","0.9997200626134872","0.9997200626134872"
"7600","0.9996093881130218","0.9996093881130218","0.9996093881130218"
"7700","0.9997461056709289","0.9997461056709289","0.9997461056709289"
"7800","0.9998795622587204","0.9998795622587204","0.9998795622587204"
"7900","0.999078796505928","0.999078796505928","0.999078796505928"
"8000","0.9997265726327896","0.9997265726327896","0.9997265726327896"
"8100","0.9999479192495346","0.9999479192495346","0.9999479192495346"
"8200","0.9999251341819764","0.9999251341819764","0.9999251341819764"
"8300","0.9997363388538361","0.9997363388538361","0.9997363388538361"
"8400","0.999462907910347","0.999462907910347","0.999462907910347"
"8500","0.9998437577486038","0.9998437577486038","0.9998437577486038"
"8600","0.9998144614696503","0.9998144614696503","0.9998144614696503"
"8700","0.9998502683639526","0.9998502683639526","0.9998502683639526"
"8800","0.9998600322008133","0.9998600322008133","0.9998600322008133"
"8900","0.9999023479223251","0.9999023479223251","0.9999023479223251"
"9000","0.9996028727293015","0.9996028727293015","0.9996028727293015"
"9100","0.9996582144498825","0.9996582144498825","0.9996582144498825"
"9200","0.9995670717954636","0.9995670717954636","0.9995670717954636"
"9300","0.9997753977775574","0.9997753977775574","0.9997753977775574"
"9400","0.9998893284797669","0.9998893284797669","0.9998893284797669"
"9500","0.9989192903041839","0.9989192903041839","0.9989192903041839"
"9600","0.999707043170929","0.999707043170929","0.999707043170929"
"9700","0.9999121135473251","0.9999121135473251","0.9999121135473251"
"9800","0.9999316436052322","0.9999316436052322","0.9999316436052322"
"9900","0.9993815267086029","0.9993815267086029","0.9993815267086029"
"10000","0.9995800906419754","0.9995800906419754","0.9995800906419754"
