"Step","shakespeare_small_decoder_0 - train_loss","shakespeare_small_decoder_0 - train_loss__MIN","shakespeare_small_decoder_0 - train_loss__MAX"
"1","4.247283935546875","4.247283935546875","4.247283935546875"
"2","4.216472625732422","4.216472625732422","4.216472625732422"
"3","4.192173004150391","4.192173004150391","4.192173004150391"
"4","4.1661834716796875","4.1661834716796875","4.1661834716796875"
"5","4.115455627441406","4.115455627441406","4.115455627441406"
"6","4.039237976074219","4.039237976074219","4.039237976074219"
"7","3.978954315185547","3.978954315185547","3.978954315185547"
"8","3.9049224853515625","3.9049224853515625","3.9049224853515625"
"9","3.8255882263183594","3.8255882263183594","3.8255882263183594"
"10","3.7664642333984375","3.7664642333984375","3.7664642333984375"
"11","3.7223129272460938","3.7223129272460938","3.7223129272460938"
"12","3.6896018981933594","3.6896018981933594","3.6896018981933594"
"13","3.6429367065429688","3.6429367065429688","3.6429367065429688"
"14","3.6147804260253906","3.6147804260253906","3.6147804260253906"
"15","3.6007652282714844","3.6007652282714844","3.6007652282714844"
"16","3.5587844848632812","3.5587844848632812","3.5587844848632812"
"17","3.5434627532958984","3.5434627532958984","3.5434627532958984"
"18","3.5307369232177734","3.5307369232177734","3.5307369232177734"
"19","3.5090465545654297","3.5090465545654297","3.5090465545654297"
"20","3.4885692596435547","3.4885692596435547","3.4885692596435547"
"21","3.478860855102539","3.478860855102539","3.478860855102539"
"22","3.4495925903320312","3.4495925903320312","3.4495925903320312"
"23","3.4432716369628906","3.4432716369628906","3.4432716369628906"
"24","3.407747268676758","3.407747268676758","3.407747268676758"
"25","3.380552291870117","3.380552291870117","3.380552291870117"
"26","3.401691436767578","3.401691436767578","3.401691436767578"
"27","3.3379974365234375","3.3379974365234375","3.3379974365234375"
"28","3.31024169921875","3.31024169921875","3.31024169921875"
"29","3.313129425048828","3.313129425048828","3.313129425048828"
"30","3.264413833618164","3.264413833618164","3.264413833618164"
"31","3.270458221435547","3.270458221435547","3.270458221435547"
"32","3.20819091796875","3.20819091796875","3.20819091796875"
"33","3.1913414001464844","3.1913414001464844","3.1913414001464844"
"34","3.165771484375","3.165771484375","3.165771484375"
"35","3.145355224609375","3.145355224609375","3.145355224609375"
"36","3.113718032836914","3.113718032836914","3.113718032836914"
"37","3.061004638671875","3.061004638671875","3.061004638671875"
"38","3.0832624435424805","3.0832624435424805","3.0832624435424805"
"39","3.0298709869384766","3.0298709869384766","3.0298709869384766"
"40","3.016627311706543","3.016627311706543","3.016627311706543"
"41","2.9764881134033203","2.9764881134033203","2.9764881134033203"
"42","2.9811887741088867","2.9811887741088867","2.9811887741088867"
"43","2.9729576110839844","2.9729576110839844","2.9729576110839844"
"44","2.9293298721313477","2.9293298721313477","2.9293298721313477"
"45","2.954819679260254","2.954819679260254","2.954819679260254"
"46","2.9413137435913086","2.9413137435913086","2.9413137435913086"
"47","2.8865489959716797","2.8865489959716797","2.8865489959716797"
"48","2.881744384765625","2.881744384765625","2.881744384765625"
"49","2.8604812622070312","2.8604812622070312","2.8604812622070312"
"50","2.8922882080078125","2.8922882080078125","2.8922882080078125"
"51","2.8558759689331055","2.8558759689331055","2.8558759689331055"
"52","2.862516403198242","2.862516403198242","2.862516403198242"
"53","2.8029251098632812","2.8029251098632812","2.8029251098632812"
"54","2.8010902404785156","2.8010902404785156","2.8010902404785156"
"55","2.768435478210449","2.768435478210449","2.768435478210449"
"56","2.788494110107422","2.788494110107422","2.788494110107422"
"57","2.7688474655151367","2.7688474655151367","2.7688474655151367"
"58","2.7214527130126953","2.7214527130126953","2.7214527130126953"
"59","2.740457057952881","2.740457057952881","2.740457057952881"
"60","2.7650399208068848","2.7650399208068848","2.7650399208068848"
"61","2.737607002258301","2.737607002258301","2.737607002258301"
