"Step","shakespeare_medium_decoder_0 - train_loss","shakespeare_medium_decoder_0 - train_loss__MIN","shakespeare_medium_decoder_0 - train_loss__MAX"
"1","4.292980194091797","4.292980194091797","4.292980194091797"
"2","4.155109405517578","4.155109405517578","4.155109405517578"
"3","3.9348907470703125","3.9348907470703125","3.9348907470703125"
"4","3.736553192138672","3.736553192138672","3.736553192138672"
"5","3.6309547424316406","3.6309547424316406","3.6309547424316406"
"6","3.5397109985351562","3.5397109985351562","3.5397109985351562"
"7","3.4989776611328125","3.4989776611328125","3.4989776611328125"
"8","3.432687759399414","3.432687759399414","3.432687759399414"
"9","3.418476104736328","3.418476104736328","3.418476104736328"
"10","3.378183364868164","3.378183364868164","3.378183364868164"
"11","3.325155258178711","3.325155258178711","3.325155258178711"
"12","3.2838592529296875","3.2838592529296875","3.2838592529296875"
"13","3.2468738555908203","3.2468738555908203","3.2468738555908203"
"14","3.294942855834961","3.294942855834961","3.294942855834961"
"15","3.2363548278808594","3.2363548278808594","3.2363548278808594"
"16","3.231809616088867","3.231809616088867","3.231809616088867"
"17","3.1848678588867188","3.1848678588867188","3.1848678588867188"
"18","3.125680923461914","3.125680923461914","3.125680923461914"
"19","3.0405421257019043","3.0405421257019043","3.0405421257019043"
"20","2.9743452072143555","2.9743452072143555","2.9743452072143555"
"21","3.0110301971435547","3.0110301971435547","3.0110301971435547"
"22","2.916165828704834","2.916165828704834","2.916165828704834"
"23","2.854764461517334","2.854764461517334","2.854764461517334"
"24","2.8898582458496094","2.8898582458496094","2.8898582458496094"
"25","2.8710732460021973","2.8710732460021973","2.8710732460021973"
"26","2.853602647781372","2.853602647781372","2.853602647781372"
"27","2.8068411350250244","2.8068411350250244","2.8068411350250244"
"28","2.779351234436035","2.779351234436035","2.779351234436035"
"29","2.7678256034851074","2.7678256034851074","2.7678256034851074"
"30","2.7380211353302","2.7380211353302","2.7380211353302"
"31","2.7321722507476807","2.7321722507476807","2.7321722507476807"
"32","2.6744062900543213","2.6744062900543213","2.6744062900543213"
"33","2.691150426864624","2.691150426864624","2.691150426864624"
"34","2.665398120880127","2.665398120880127","2.665398120880127"
