"Step","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - train_loss","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - train_loss__MIN","reversed_addition_len_gen_extra_small_deep_encoder_1_fixed - train_loss__MAX"
"1","2.7093238830566406","2.7093238830566406","2.7093238830566406"
"2","2.706684112548828","2.706684112548828","2.706684112548828"
"6","2.679851531982422","2.679851531982422","2.679851531982422"
"13","2.6062469482421875","2.6062469482421875","2.6062469482421875"
"15","2.5815372467041016","2.5815372467041016","2.5815372467041016"
"18","2.554410934448242","2.554410934448242","2.554410934448242"
"28","2.4715347290039062","2.4715347290039062","2.4715347290039062"
"29","2.4647436141967773","2.4647436141967773","2.4647436141967773"
"34","2.439600944519043","2.439600944519043","2.439600944519043"
"35","2.4391822814941406","2.4391822814941406","2.4391822814941406"
"37","2.425577163696289","2.425577163696289","2.425577163696289"
"38","2.426504135131836","2.426504135131836","2.426504135131836"
"40","2.4211368560791016","2.4211368560791016","2.4211368560791016"
"41","2.418795585632324","2.418795585632324","2.418795585632324"
"42","2.4211082458496094","2.4211082458496094","2.4211082458496094"
"45","2.412583351135254","2.412583351135254","2.412583351135254"
"46","2.4140167236328125","2.4140167236328125","2.4140167236328125"
"50","2.403397560119629","2.403397560119629","2.403397560119629"
"53","2.3958206176757812","2.3958206176757812","2.3958206176757812"
"54","2.400655746459961","2.400655746459961","2.400655746459961"
"55","2.39913272857666","2.39913272857666","2.39913272857666"
"57","2.396864891052246","2.396864891052246","2.396864891052246"
"59","2.3929548263549805","2.3929548263549805","2.3929548263549805"
"65","2.3939714431762695","2.3939714431762695","2.3939714431762695"
"66","2.3862791061401367","2.3862791061401367","2.3862791061401367"
"68","2.3878326416015625","2.3878326416015625","2.3878326416015625"
"82","2.3747100830078125","2.3747100830078125","2.3747100830078125"
"88","2.3633337020874023","2.3633337020874023","2.3633337020874023"
"91","2.3524866104125977","2.3524866104125977","2.3524866104125977"
"92","2.3522300720214844","2.3522300720214844","2.3522300720214844"
"93","2.3516578674316406","2.3516578674316406","2.3516578674316406"
"95","2.3709774017333984","2.3709774017333984","2.3709774017333984"
"96","2.360232353210449","2.360232353210449","2.360232353210449"
"99","2.359140396118164","2.359140396118164","2.359140396118164"
"102","2.3532238006591797","2.3532238006591797","2.3532238006591797"
"105","2.3455452919006348","2.3455452919006348","2.3455452919006348"
"106","2.3439698219299316","2.3439698219299316","2.3439698219299316"
"108","2.346557140350342","2.346557140350342","2.346557140350342"
"109","2.345303535461426","2.345303535461426","2.345303535461426"
"113","2.334197998046875","2.334197998046875","2.334197998046875"
"115","2.323650360107422","2.323650360107422","2.323650360107422"
"117","2.326821804046631","2.326821804046631","2.326821804046631"
"121","2.3141775131225586","2.3141775131225586","2.3141775131225586"
"123","2.315150260925293","2.315150260925293","2.315150260925293"
"125","2.2985501289367676","2.2985501289367676","2.2985501289367676"
"138","2.2814860343933105","2.2814860343933105","2.2814860343933105"
"139","2.2895941734313965","2.2895941734313965","2.2895941734313965"
"140","2.2785797119140625","2.2785797119140625","2.2785797119140625"
"142","2.2728304862976074","2.2728304862976074","2.2728304862976074"
"143","2.2794909477233887","2.2794909477233887","2.2794909477233887"
"146","2.2628860473632812","2.2628860473632812","2.2628860473632812"
"149","2.267745018005371","2.267745018005371","2.267745018005371"
"153","2.2571096420288086","2.2571096420288086","2.2571096420288086"
"158","2.2541685104370117","2.2541685104370117","2.2541685104370117"
"159","2.239898681640625","2.239898681640625","2.239898681640625"
"162","2.2547011375427246","2.2547011375427246","2.2547011375427246"
"168","2.2281765937805176","2.2281765937805176","2.2281765937805176"
"171","2.230109214782715","2.230109214782715","2.230109214782715"
"173","2.228343963623047","2.228343963623047","2.228343963623047"
"174","2.21394681930542","2.21394681930542","2.21394681930542"
"175","2.224782943725586","2.224782943725586","2.224782943725586"
"176","2.222013235092163","2.222013235092163","2.222013235092163"
"177","2.2245805263519287","2.2245805263519287","2.2245805263519287"
"178","2.210737466812134","2.210737466812134","2.210737466812134"
"179","2.2152678966522217","2.2152678966522217","2.2152678966522217"
"180","2.217231035232544","2.217231035232544","2.217231035232544"
"182","2.211759328842163","2.211759328842163","2.211759328842163"
"183","2.213052272796631","2.213052272796631","2.213052272796631"
"193","2.2093217372894287","2.2093217372894287","2.2093217372894287"
"198","2.1997451782226562","2.1997451782226562","2.1997451782226562"
"201","2.211108684539795","2.211108684539795","2.211108684539795"
"203","2.1976943016052246","2.1976943016052246","2.1976943016052246"
"204","2.1994550228118896","2.1994550228118896","2.1994550228118896"
"210","2.1853067874908447","2.1853067874908447","2.1853067874908447"
"215","2.182940721511841","2.182940721511841","2.182940721511841"
"218","2.2924158573150635","2.2924158573150635","2.2924158573150635"
"230","2.2021677494049072","2.2021677494049072","2.2021677494049072"
"232","2.2145490646362305","2.2145490646362305","2.2145490646362305"
"236","2.188048839569092","2.188048839569092","2.188048839569092"
"238","2.1852245330810547","2.1852245330810547","2.1852245330810547"
"241","2.1921167373657227","2.1921167373657227","2.1921167373657227"
"242","2.190692186355591","2.190692186355591","2.190692186355591"
"245","2.1767542362213135","2.1767542362213135","2.1767542362213135"
"246","2.1763978004455566","2.1763978004455566","2.1763978004455566"
"247","2.1772572994232178","2.1772572994232178","2.1772572994232178"
"248","2.1734578609466553","2.1734578609466553","2.1734578609466553"
"251","2.1762466430664062","2.1762466430664062","2.1762466430664062"
"265","2.2083301544189453","2.2083301544189453","2.2083301544189453"
"267","2.196871280670166","2.196871280670166","2.196871280670166"
"274","2.1810781955718994","2.1810781955718994","2.1810781955718994"
"275","2.180588722229004","2.180588722229004","2.180588722229004"
"277","2.178046703338623","2.178046703338623","2.178046703338623"
"280","2.1802430152893066","2.1802430152893066","2.1802430152893066"
"281","2.1697916984558105","2.1697916984558105","2.1697916984558105"
"282","2.172758102416992","2.172758102416992","2.172758102416992"
"283","2.171851396560669","2.171851396560669","2.171851396560669"
"284","2.1777572631835938","2.1777572631835938","2.1777572631835938"
"291","2.166245937347412","2.166245937347412","2.166245937347412"
"292","2.1482911109924316","2.1482911109924316","2.1482911109924316"
"293","2.1569128036499023","2.1569128036499023","2.1569128036499023"
"294","2.1697850227355957","2.1697850227355957","2.1697850227355957"
"301","2.1771302223205566","2.1771302223205566","2.1771302223205566"
"303","2.166144609451294","2.166144609451294","2.166144609451294"
"304","2.1749298572540283","2.1749298572540283","2.1749298572540283"
"310","2.1809797286987305","2.1809797286987305","2.1809797286987305"
"311","2.1808676719665527","2.1808676719665527","2.1808676719665527"
"313","2.174753189086914","2.174753189086914","2.174753189086914"
"315","2.163543224334717","2.163543224334717","2.163543224334717"
"317","2.1728334426879883","2.1728334426879883","2.1728334426879883"
"319","2.180666923522949","2.180666923522949","2.180666923522949"
"324","2.1737887859344482","2.1737887859344482","2.1737887859344482"
"327","2.1633784770965576","2.1633784770965576","2.1633784770965576"
"329","2.21114444732666","2.21114444732666","2.21114444732666"
"331","2.201266288757324","2.201266288757324","2.201266288757324"
"332","2.240790367126465","2.240790367126465","2.240790367126465"
"336","2.189892292022705","2.189892292022705","2.189892292022705"
"338","2.1754472255706787","2.1754472255706787","2.1754472255706787"
"340","2.184931755065918","2.184931755065918","2.184931755065918"
"341","2.1765499114990234","2.1765499114990234","2.1765499114990234"
"342","2.1592626571655273","2.1592626571655273","2.1592626571655273"
"348","2.1580235958099365","2.1580235958099365","2.1580235958099365"
"349","2.1665079593658447","2.1665079593658447","2.1665079593658447"
"351","2.1563403606414795","2.1563403606414795","2.1563403606414795"
"353","2.1874020099639893","2.1874020099639893","2.1874020099639893"
"354","2.23488712310791","2.23488712310791","2.23488712310791"
"361","2.1712048053741455","2.1712048053741455","2.1712048053741455"
"363","2.1617462635040283","2.1617462635040283","2.1617462635040283"
"364","2.152313470840454","2.152313470840454","2.152313470840454"
"365","2.1548163890838623","2.1548163890838623","2.1548163890838623"
"368","2.168323516845703","2.168323516845703","2.168323516845703"
"374","2.1583852767944336","2.1583852767944336","2.1583852767944336"
"376","2.1402807235717773","2.1402807235717773","2.1402807235717773"
"381","2.1517319679260254","2.1517319679260254","2.1517319679260254"
"382","2.1468684673309326","2.1468684673309326","2.1468684673309326"
"387","2.1365463733673096","2.1365463733673096","2.1365463733673096"
"390","2.132155418395996","2.132155418395996","2.132155418395996"
"401","2.1453073024749756","2.1453073024749756","2.1453073024749756"
"402","2.1546735763549805","2.1546735763549805","2.1546735763549805"
"411","2.1432719230651855","2.1432719230651855","2.1432719230651855"
"412","2.1284072399139404","2.1284072399139404","2.1284072399139404"
"413","2.1409294605255127","2.1409294605255127","2.1409294605255127"
"422","2.134277820587158","2.134277820587158","2.134277820587158"
"435","2.1341629028320312","2.1341629028320312","2.1341629028320312"
"436","2.132624864578247","2.132624864578247","2.132624864578247"
"437","2.124126672744751","2.124126672744751","2.124126672744751"
"438","2.12016224861145","2.12016224861145","2.12016224861145"
"440","2.126884937286377","2.126884937286377","2.126884937286377"
"442","2.1235721111297607","2.1235721111297607","2.1235721111297607"
"447","2.122483968734741","2.122483968734741","2.122483968734741"
"449","2.130476474761963","2.130476474761963","2.130476474761963"
"453","2.1671252250671387","2.1671252250671387","2.1671252250671387"
"454","2.1651811599731445","2.1651811599731445","2.1651811599731445"
"456","2.1547632217407227","2.1547632217407227","2.1547632217407227"
"460","2.1449813842773438","2.1449813842773438","2.1449813842773438"
"462","2.1420445442199707","2.1420445442199707","2.1420445442199707"
"463","2.1302363872528076","2.1302363872528076","2.1302363872528076"
