"Step","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - val_loss","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - val_loss__MIN","reversed_addition_len_gen_extra_small_deep_encoder_2_fixed - val_loss__MAX"
"500","2.1277386283874513","2.1277386283874513","2.1277386283874513"
"1000","2.1029619121551515","2.1029619121551515","2.1029619121551515"
"1500","2.0687448978424072","2.0687448978424072","2.0687448978424072"
"2000","2.0525302124023437","2.0525302124023437","2.0525302124023437"
"2500","2.044781084060669","2.044781084060669","2.044781084060669"
"3000","2.0302313423156737","2.0302313423156737","2.0302313423156737"
"3500","1.961855263710022","1.961855263710022","1.961855263710022"
"4000","1.8974556922912598","1.8974556922912598","1.8974556922912598"
"4500","1.8145620441436767","1.8145620441436767","1.8145620441436767"
"5000","1.811073613166809","1.811073613166809","1.811073613166809"
"5500","1.8489995527267455","1.8489995527267455","1.8489995527267455"
"6000","1.7949836874008178","1.7949836874008178","1.7949836874008178"
"6500","1.932955904006958","1.932955904006958","1.932955904006958"
"7000","1.592362608909607","1.592362608909607","1.592362608909607"
"7500","1.4864033031463624","1.4864033031463624","1.4864033031463624"
"8000","2.00558265209198","2.00558265209198","2.00558265209198"
"8500","1.4789562654495239","1.4789562654495239","1.4789562654495239"
"9000","1.48548330783844","1.48548330783844","1.48548330783844"
"9500","1.478959984779358","1.478959984779358","1.478959984779358"
"10000","1.4786676836013795","1.4786676836013795","1.4786676836013795"
"10500","1.4799074459075927","1.4799074459075927","1.4799074459075927"
"11000","1.4817665243148803","1.4817665243148803","1.4817665243148803"
"11500","1.481904673576355","1.481904673576355","1.481904673576355"
"12000","1.4790899515151978","1.4790899515151978","1.4790899515151978"
"12500","1.4758497524261474","1.4758497524261474","1.4758497524261474"
"13000","1.4763795948028564","1.4763795948028564","1.4763795948028564"
"13500","1.4746154975891113","1.4746154975891113","1.4746154975891113"
"14000","1.48481173992157","1.48481173992157","1.48481173992157"
"14500","1.5154974889755248","1.5154974889755248","1.5154974889755248"
"15000","1.479342041015625","1.479342041015625","1.479342041015625"
"15500","1.4761674737930297","1.4761674737930297","1.4761674737930297"
"16000","1.4754117965698241","1.4754117965698241","1.4754117965698241"
"16500","1.5135575675964354","1.5135575675964354","1.5135575675964354"
"17000","1.478404679298401","1.478404679298401","1.478404679298401"
