"Step","counting_extra_small_encoder_perm_invariant_0 - accuracy","counting_extra_small_encoder_perm_invariant_0 - accuracy__MIN","counting_extra_small_encoder_perm_invariant_0 - accuracy__MAX"
"100","0.35987631291151045","0.35987631291151045","0.35987631291151045"
"200","0.5938411676883697","0.5938411676883697","0.5938411676883697"
"300","0.8104850459098816","0.8104850459098816","0.8104850459098816"
"400","0.9115853035449981","0.9115853035449981","0.9115853035449981"
"500","0.8526692879199982","0.8526692879199982","0.8526692879199982"
"600","0.38506185859441755","0.38506185859441755","0.38506185859441755"
"700","0.9533561390638351","0.9533561390638351","0.9533561390638351"
"800","0.9615820515155792","0.9615820515155792","0.9615820515155792"
"900","0.9689909058809281","0.9689909058809281","0.9689909058809281"
"1000","0.9763379144668579","0.9763379144668579","0.9763379144668579"
"1100","0.9765429884195328","0.9765429884195328","0.9765429884195328"
"1200","0.9352474129199981","0.9352474129199981","0.9352474129199981"
"1300","0.7952929890155792","0.7952929890155792","0.7952929890155792"
"1400","0.9840299707651138","0.9840299707651138","0.9840299707651138"
"1500","0.639453147649765","0.639453147649765","0.639453147649765"
"1600","0.9890397363901138","0.9890397363901138","0.9890397363901138"
"1700","0.9900032728910446","0.9900032728910446","0.9900032728910446"
"1800","0.9308040553331375","0.9308040553331375","0.9308040553331375"
"1900","0.9896777564287186","0.9896777564287186","0.9896777564287186"
"2000","0.9928157758712769","0.9928157758712769","0.9928157758712769"
"2100","0.9840202039480209","0.9840202039480209","0.9840202039480209"
"2200","0.9927181178331375","0.9927181178331375","0.9927181178331375"
"2300","0.9921614789962768","0.9921614789962768","0.9921614789962768"
"2400","0.993134782910347","0.993134782910347","0.993134782910347"
"2500","0.9924186420440674","0.9924186420440674","0.9924186420440674"
"2600","0.9951758015155793","0.9951758015155793","0.9951758015155793"
"2700","0.9932226771116257","0.9932226771116257","0.9932226771116257"
"2800","0.9967741066217423","0.9967741066217423","0.9967741066217423"
"2900","0.9971028846502304","0.9971028846502304","0.9971028846502304"
"3000","0.9972949409484864","0.9972949409484864","0.9972949409484864"
"3100","0.9964974164962769","0.9964974164962769","0.9964974164962769"
"3200","0.9977962416410446","0.9977962416410446","0.9977962416410446"
"3300","0.9978027546405792","0.9978027546405792","0.9978027546405792"
"3400","0.9976302301883697","0.9976302301883697","0.9976302301883697"
"3500","0.9979655140638352","0.9979655140638352","0.9979655140638352"
"3600","0.9963086146116257","0.9963086146116257","0.9963086146116257"
"3700","0.9988867366313934","0.9988867366313934","0.9988867366313934"
"3800","0.9981022346019744","0.9981022346019744","0.9981022346019744"
"3900","0.998867204785347","0.998867204785347","0.998867204785347"
"4000","0.998818376660347","0.998818376660347","0.998818376660347"
"4100","0.9989876490831375","0.9989876490831375","0.9989876490831375"
"4200","0.9988932478427887","0.9988932478427887","0.9988932478427887"
"4300","0.9990299683809281","0.9990299683809281","0.9990299683809281"
"4400","0.9986718940734863","0.9986718940734863","0.9986718940734863"
"4500","0.9990853041410446","0.9990853041410446","0.9990853041410446"
"4600","0.9991308754682541","0.9991308754682541","0.9991308754682541"
"4700","0.9991308784484864","0.9991308784484864","0.9991308784484864"
"4800","0.9992252779006958","0.9992252779006958","0.9992252779006958"
"4900","0.9992350417375565","0.9992350417375565","0.9992350417375565"
"5000","0.9991829586029053","0.9991829586029053","0.9991829586029053"
"5100","0.9992545741796494","0.9992545741796494","0.9992545741796494"
"5200","0.9991406440734864","0.9991406440734864","0.9991406440734864"
"5300","0.983359392285347","0.983359392285347","0.983359392285347"
"5400","0.9992838710546493","0.9992838710546493","0.9992838710546493"
"5500","0.9994173330068589","0.9994173330068589","0.9994173330068589"
"5600","0.9993522268533707","0.9993522268533707","0.9993522268533707"
"5700","0.999352229833603","0.999352229833603","0.999352229833603"
"5800","0.9994173324108124","0.9994173324108124","0.9994173324108124"
"5900","0.9995898562669754","0.9995898562669754","0.9995898562669754"
"6000","0.9994759267568588","0.9994759267568588","0.9994759267568588"
"6100","0.9990299665927886","0.9990299665927886","0.9990299665927886"
"6200","0.9995247519016266","0.9995247519016266","0.9995247519016266"
"6300","0.9996842551231384","0.9996842551231384","0.9996842551231384"
"6400","0.9995670700073243","0.9995670700073243","0.9995670700073243"
"6500","0.9995703256130218","0.9995703256130218","0.9995703256130218"
"6600","0.9994824349880218","0.9994824349880218","0.9994824349880218"
"6700","0.9996386837959289","0.9996386837959289","0.9996386837959289"
"6800","0.9996875107288361","0.9996875107288361","0.9996875107288361"
"6900","0.9996191519498825","0.9996191519498825","0.9996191519498825"
"7000","0.9997200626134872","0.9997200626134872","0.9997200626134872"
"7100","0.9995898562669754","0.9995898562669754","0.9995898562669754"
"7200","0.9996386802196503","0.9996386802196503","0.9996386802196503"
"7300","0.9996517044305802","0.9996517044305802","0.9996517044305802"
"7400","0.9996321731805802","0.9996321731805802","0.9996321731805802"
"7500","0.9997721427679062","0.9997721427679062","0.9997721427679062"
"7600","0.9995247536897659","0.9995247536897659","0.9995247536897659"
"7700","0.999550793170929","0.999550793170929","0.999550793170929"
"7800","0.9996647238731384","0.9996647238731384","0.9996647238731384"
"7900","0.99056316614151","0.99056316614151","0.99056316614151"
"8000","0.9996679782867431","0.9996679782867431","0.9996679782867431"
"8100","0.9995019656419754","0.9995019656419754","0.9995019656419754"
"8200","0.9996809983253478","0.9996809983253478","0.9996809983253478"
"8300","0.9996386861801148","0.9996386861801148","0.9996386861801148"
"8400","0.9995996195077896","0.9995996195077896","0.9995996195077896"
"8500","0.9995670676231384","0.9995670676231384","0.9995670676231384"
"8600","0.9995898544788361","0.9995898544788361","0.9995898544788361"
"8700","0.9996484476327896","0.9996484476327896","0.9996484476327896"
"8800","0.9995768356323242","0.9995768356323242","0.9995768356323242"
"8900","0.9996289175748825","0.9996289175748825","0.9996289175748825"
"9000","0.999654957652092","0.999654957652092","0.999654957652092"
"9100","0.9994596481323242","0.9994596481323242","0.9994596481323242"
"9200","0.9996354281902313","0.9996354281902313","0.9996354281902313"
"9300","0.9996224051713943","0.9996224051713943","0.9996224051713943"
"9400","0.9997461026906967","0.9997461026906967","0.9997461026906967"
"9500","0.9996712338924408","0.9996712338924408","0.9996712338924408"
"9600","0.9996907645463944","0.9996907645463944","0.9996907645463944"
"9700","0.9996061289310455","0.9996061289310455","0.9996061289310455"
"9800","0.9997330832481385","0.9997330832481385","0.9997330832481385"
"9900","0.9997428476810455","0.9997428476810455","0.9997428476810455"
"10000","0.9996875113248825","0.9996875113248825","0.9996875113248825"
