"Step","shakespeare_small_encoder_0 - train_loss","shakespeare_small_encoder_0 - train_loss__MIN","shakespeare_small_encoder_0 - train_loss__MAX"
"1","4.256305694580078","4.256305694580078","4.256305694580078"
"2","4.225864410400391","4.225864410400391","4.225864410400391"
"3","4.201850891113281","4.201850891113281","4.201850891113281"
"4","4.177692413330078","4.177692413330078","4.177692413330078"
"5","4.126873016357422","4.126873016357422","4.126873016357422"
"6","4.054119110107422","4.054119110107422","4.054119110107422"
"7","3.9937973022460938","3.9937973022460938","3.9937973022460938"
"8","3.9179916381835938","3.9179916381835938","3.9179916381835938"
"9","3.8378028869628906","3.8378028869628906","3.8378028869628906"
"10","3.77545166015625","3.77545166015625","3.77545166015625"
"11","3.7283401489257812","3.7283401489257812","3.7283401489257812"
"12","3.6943397521972656","3.6943397521972656","3.6943397521972656"
"13","3.6451416015625","3.6451416015625","3.6451416015625"
"14","3.6171340942382812","3.6171340942382812","3.6171340942382812"
"15","3.60113525390625","3.60113525390625","3.60113525390625"
"16","3.5592117309570312","3.5592117309570312","3.5592117309570312"
"17","3.543294906616211","3.543294906616211","3.543294906616211"
"18","3.530099868774414","3.530099868774414","3.530099868774414"
"19","3.5077285766601562","3.5077285766601562","3.5077285766601562"
"20","3.4864025115966797","3.4864025115966797","3.4864025115966797"
"21","3.475717544555664","3.475717544555664","3.475717544555664"
"22","3.4457874298095703","3.4457874298095703","3.4457874298095703"
"23","3.43756103515625","3.43756103515625","3.43756103515625"
"24","3.4021968841552734","3.4021968841552734","3.4021968841552734"
"25","3.372610092163086","3.372610092163086","3.372610092163086"
"26","3.388936996459961","3.388936996459961","3.388936996459961"
"27","3.3233680725097656","3.3233680725097656","3.3233680725097656"
"28","3.294891357421875","3.294891357421875","3.294891357421875"
"29","3.2994384765625","3.2994384765625","3.2994384765625"
"30","3.2519874572753906","3.2519874572753906","3.2519874572753906"
"31","3.257343292236328","3.257343292236328","3.257343292236328"
"32","3.1974849700927734","3.1974849700927734","3.1974849700927734"
"33","3.183340072631836","3.183340072631836","3.183340072631836"
"34","3.15567684173584","3.15567684173584","3.15567684173584"
"35","3.1367225646972656","3.1367225646972656","3.1367225646972656"
"36","3.1034202575683594","3.1034202575683594","3.1034202575683594"
"37","3.053058624267578","3.053058624267578","3.053058624267578"
"38","3.0754566192626953","3.0754566192626953","3.0754566192626953"
"39","3.022205352783203","3.022205352783203","3.022205352783203"
"40","3.008723258972168","3.008723258972168","3.008723258972168"
"41","2.9706640243530273","2.9706640243530273","2.9706640243530273"
"42","2.9751386642456055","2.9751386642456055","2.9751386642456055"
"43","2.96535587310791","2.96535587310791","2.96535587310791"
"44","2.924471855163574","2.924471855163574","2.924471855163574"
"45","2.949559211730957","2.949559211730957","2.949559211730957"
"46","2.936290740966797","2.936290740966797","2.936290740966797"
"47","2.881218910217285","2.881218910217285","2.881218910217285"
"48","2.879179000854492","2.879179000854492","2.879179000854492"
"49","2.8572778701782227","2.8572778701782227","2.8572778701782227"
"50","2.888251304626465","2.888251304626465","2.888251304626465"
"51","2.851809501647949","2.851809501647949","2.851809501647949"
"52","2.8616714477539062","2.8616714477539062","2.8616714477539062"
"53","2.803473472595215","2.803473472595215","2.803473472595215"
"54","2.800271987915039","2.800271987915039","2.800271987915039"
"55","2.765261650085449","2.765261650085449","2.765261650085449"
"56","2.7899608612060547","2.7899608612060547","2.7899608612060547"
"57","2.767420768737793","2.767420768737793","2.767420768737793"
"58","2.7239952087402344","2.7239952087402344","2.7239952087402344"
"59","2.743265151977539","2.743265151977539","2.743265151977539"
"60","2.7683205604553223","2.7683205604553223","2.7683205604553223"
"61","2.73848295211792","2.73848295211792","2.73848295211792"
"62","2.7094125747680664","2.7094125747680664","2.7094125747680664"
"63","2.7430825233459473","2.7430825233459473","2.7430825233459473"
"64","2.6945433616638184","2.6945433616638184","2.6945433616638184"
"65","2.704329013824463","2.704329013824463","2.704329013824463"
"66","2.687842845916748","2.687842845916748","2.687842845916748"
"67","2.6694822311401367","2.6694822311401367","2.6694822311401367"
"68","2.6993188858032227","2.6993188858032227","2.6993188858032227"
"69","2.7079782485961914","2.7079782485961914","2.7079782485961914"
