"Step","counting_medium_decoder_perm_invariant_0 - accuracy","counting_medium_decoder_perm_invariant_0 - accuracy__MIN","counting_medium_decoder_perm_invariant_0 - accuracy__MAX"
"100","0.6628287982940674","0.6628287982940674","0.6628287982940674"
"200","0.3004687613248825","0.3004687613248825","0.3004687613248825"
"300","0.9209277540445328","0.9209277540445328","0.9209277540445328"
"400","0.8426139491796494","0.8426139491796494","0.8426139491796494"
"500","0.6376399946212769","0.6376399946212769","0.6376399946212769"
"600","0.9829590028524399","0.9829590028524399","0.9829590028524399"
"700","0.979303405880928","0.979303405880928","0.979303405880928"
"800","0.9872103065252305","0.9872103065252305","0.9872103065252305"
"900","0.9672200721502304","0.9672200721502304","0.9672200721502304"
"1000","0.9833886903524399","0.9833886903524399","0.9833886903524399"
"1100","0.9948470258712768","0.9948470258712768","0.9948470258712768"
"1200","0.9962565302848816","0.9962565302848816","0.9962565302848816"
"1300","0.9867122602462769","0.9867122602462769","0.9867122602462769"
"1400","0.9936002802848816","0.9936002802848816","0.9936002802848816"
"1500","0.9926367396116257","0.9926367396116257","0.9926367396116257"
"1600","0.9931738501787186","0.9931738501787186","0.9931738501787186"
"1700","0.9730501508712769","0.9730501508712769","0.9730501508712769"
"1800","0.9973014503717422","0.9973014503717422","0.9973014503717422"
"1900","0.9950455921888351","0.9950455921888351","0.9950455921888351"
"2000","0.9959928572177887","0.9959928572177887","0.9959928572177887"
"2100","0.9963346552848816","0.9963346552848816","0.9963346552848816"
"2200","0.9966992413997651","0.9966992413997651","0.9966992413997651"
"2300","0.997213562130928","0.997213562130928","0.997213562130928"
"2400","0.9963639551401138","0.9963639551401138","0.9963639551401138"
"2500","0.998736995458603","0.998736995458603","0.998736995458603"
"2600","0.997646501660347","0.997646501660347","0.997646501660347"
"2700","0.996966164112091","0.996966164112091","0.996966164112091"
"2800","0.9986588740348816","0.9986588740348816","0.9986588740348816"
"2900","0.9974674695730209","0.9974674695730209","0.9974674695730209"
"3000","0.998089210987091","0.998089210987091","0.998089210987091"
"3100","0.9987988466024399","0.9987988466024399","0.9987988466024399"
"3200","0.9980664247274399","0.9980664247274399","0.9980664247274399"
"3300","0.9965755409002304","0.9965755409002304","0.9965755409002304"
"3400","0.9981673365831375","0.9981673365831375","0.9981673365831375"
"3500","0.9991438996791839","0.9991438996791839","0.9991438996791839"
"3600","0.998958352804184","0.998958352804184","0.998958352804184"
"3700","0.9990657752752304","0.9990657752752304","0.9990657752752304"
"3800","0.9991666853427887","0.9991666853427887","0.9991666853427887"
"3900","0.9987207233905793","0.9987207233905793","0.9987207233905793"
"4000","0.9992480665445328","0.9992480665445328","0.9992480665445328"
"4100","0.9994954580068588","0.9994954580068588","0.9994954580068588"
"4200","0.9996842581033707","0.9996842581033707","0.9996842581033707"
"4300","0.9994922012090683","0.9994922012090683","0.9994922012090683"
"4400","0.9997200620174408","0.9997200620174408","0.9997200620174408"
"4500","0.9997168076038361","0.9997168076038361","0.9997168076038361"
"4600","0.9997363400459289","0.9997363400459289","0.9997363400459289"
"4700","0.9996386855840683","0.9996386855840683","0.9996386855840683"
"4800","0.9996484488248825","0.9996484488248825","0.9996484488248825"
"4900","0.999667980670929","0.999667980670929","0.999667980670929"
"5000","0.9997623801231384","0.9997623801231384","0.9997623801231384"
"5100","0.9996842563152313","0.9996842563152313","0.9996842563152313"
"5200","0.9996549600362777","0.9996549600362777","0.9996549600362777"
"5300","0.9996517026424407","0.9996517026424407","0.9996517026424407"
"5400","0.9997688883543014","0.9997688883543014","0.9997688883543014"
"5500","0.9997916728258133","0.9997916728258133","0.9997916728258133"
"5600","0.9997493582963943","0.9997493582963943","0.9997493582963943"
"5700","0.9997005301713944","0.9997005301713944","0.9997005301713944"
"5800","0.9996549624204636","0.9996549624204636","0.9996549624204636"
"5900","0.9995573061704636","0.9995573061704636","0.9995573061704636"
