"Step","counting_medium_decoder_perm_invariant_0 - accuracy","counting_medium_decoder_perm_invariant_0 - accuracy__MIN","counting_medium_decoder_perm_invariant_0 - accuracy__MAX"
"6000","0.9997884207963943","0.9997884207963943","0.9997884207963943"
"6100","0.9997526144981385","0.9997526144981385","0.9997526144981385"
"6200","0.9996289193630219","0.9996289193630219","0.9996289193630219"
"6300","0.999827481508255","0.999827481508255","0.999827481508255"
"6400","0.9997916758060456","0.9997916758060456","0.9997916758060456"
"6500","0.9996451961994172","0.9996451961994172","0.9996451961994172"
"6600","0.999804694056511","0.999804694056511","0.999804694056511"
"6700","0.9996159023046494","0.9996159023046494","0.9996159023046494"
"6800","0.9998535227775573","0.9998535227775573","0.9998535227775573"
"6900","0.9998632878065109","0.9998632878065109","0.9998632878065109"
"7000","0.9999088579416275","0.9999088579416275","0.9999088579416275"
"7100","0.9998144620656967","0.9998144620656967","0.9998144620656967"
"7200","0.9998763084411622","0.9998763084411622","0.9998763084411622"
"7300","0.999856778383255","0.999856778383255","0.999856778383255"
"7400","0.9998209720849991","0.9998209720849991","0.9998209720849991"
"7500","0.9994629073143005","0.9994629073143005","0.9994629073143005"
"7600","0.9998665410280227","0.9998665410280227","0.9998665410280227"
"7700","0.9998112058639527","0.9998112058639527","0.9998112058639527"
"7800","0.9999056035280227","0.9999056035280227","0.9999056035280227"
"7900","0.9997558683156967","0.9997558683156967","0.9997558683156967"
"8000","0.9999251335859298","0.9999251335859298","0.9999251335859298"
"8100","0.9998990923166275","0.9998990923166275","0.9998990923166275"
"8200","0.9998339921236038","0.9998339921236038","0.9998339921236038"
"8300","0.9998990935087204","0.9998990935087204","0.9998990935087204"
"8400","0.9998697990179062","0.9998697990179062","0.9998697990179062"
"8500","0.9997949266433716","0.9997949266433716","0.9997949266433716"
"8600","0.9995214998722076","0.9995214998722076","0.9995214998722076"
"8700","0.9998502683639526","0.9998502683639526","0.9998502683639526"
"8800","0.9999446648359299","0.9999446648359299","0.9999446648359299"
"8900","0.999681003689766","0.999681003689766","0.999681003689766"
"9000","0.9998437565565109","0.9998437565565109","0.9998437565565109"
"9100","0.9997656351327896","0.9997656351327896","0.9997656351327896"
"9200","0.9998860722780227","0.9998860722780227","0.9998860722780227"
"9300","0.9994954609870911","0.9994954609870911","0.9994954609870911"
"9400","0.9997298288345337","0.9997298288345337","0.9997298288345337"
"9500","0.9998697978258133","0.9998697978258133","0.9998697978258133"
"9600","0.9998795640468597","0.9998795640468597","0.9998795640468597"
"9700","0.9995768404006958","0.9995768404006958","0.9995768404006958"
"9800","0.999918624162674","0.999918624162674","0.999918624162674"
"9900","0.999908858537674","0.999908858537674","0.999908858537674"
"10000","0.9997623801231384","0.9997623801231384","0.9997623801231384"
