"Step","count3_medium_encoder_0 - loss","count3_medium_encoder_0 - loss__MIN","count3_medium_encoder_0 - loss__MAX"
"100","3.703471279144287","3.703471279144287","3.703471279144287"
"200","3.441772644519806","3.441772644519806","3.441772644519806"
"300","3.3967052459716798","3.3967052459716798","3.3967052459716798"
"400","3.378965148925781","3.378965148925781","3.378965148925781"
"500","3.3681975555419923","3.3681975555419923","3.3681975555419923"
"600","3.355389723777771","3.355389723777771","3.355389723777771"
"700","3.3438417601585386","3.3438417601585386","3.3438417601585386"
"800","3.3362271547317506","3.3362271547317506","3.3362271547317506"
"900","3.328629856109619","3.328629856109619","3.328629856109619"
"1000","3.3204000067710875","3.3204000067710875","3.3204000067710875"
"1100","3.315475242137909","3.315475242137909","3.315475242137909"
"1200","3.3069534206390383","3.3069534206390383","3.3069534206390383"
"1300","3.3004335737228394","3.3004335737228394","3.3004335737228394"
"1400","3.2946078085899355","3.2946078085899355","3.2946078085899355"
"1500","3.2904933738708495","3.2904933738708495","3.2904933738708495"
"1600","3.282338752746582","3.282338752746582","3.282338752746582"
"1700","3.276104197502136","3.276104197502136","3.276104197502136"
"1800","3.2697456526756286","3.2697456526756286","3.2697456526756286"
"1900","3.2642692852020265","3.2642692852020265","3.2642692852020265"
"2000","3.2592317986488344","3.2592317986488344","3.2592317986488344"
"2100","3.252666721343994","3.252666721343994","3.252666721343994"
"2200","3.2458146166801454","3.2458146166801454","3.2458146166801454"
"2300","3.2451272869110106","3.2451272869110106","3.2451272869110106"
"2400","3.2419117283821106","3.2419117283821106","3.2419117283821106"
"2500","3.238131239414215","3.238131239414215","3.238131239414215"
"2600","3.2301788306236268","3.2301788306236268","3.2301788306236268"
"2700","3.2224733805656434","3.2224733805656434","3.2224733805656434"
"2800","3.2206080317497254","3.2206080317497254","3.2206080317497254"
"2900","3.2165357446670533","3.2165357446670533","3.2165357446670533"
"3000","3.2119585561752317","3.2119585561752317","3.2119585561752317"
"3100","3.205762779712677","3.205762779712677","3.205762779712677"
"3200","3.2052483534812928","3.2052483534812928","3.2052483534812928"
"3300","3.201250796318054","3.201250796318054","3.201250796318054"
"3400","3.1927560496330263","3.1927560496330263","3.1927560496330263"
"3500","3.1884843921661377","3.1884843921661377","3.1884843921661377"
"3600","3.187273030281067","3.187273030281067","3.187273030281067"
"3700","3.18195392370224","3.18195392370224","3.18195392370224"
"3800","3.1785535764694215","3.1785535764694215","3.1785535764694215"
"3900","3.174825916290283","3.174825916290283","3.174825916290283"
"4000","3.1688417315483095","3.1688417315483095","3.1688417315483095"
"4100","3.163056960105896","3.163056960105896","3.163056960105896"
"4200","3.154800171852112","3.154800171852112","3.154800171852112"
"4300","3.1520180225372316","3.1520180225372316","3.1520180225372316"
"4400","3.1469464898109436","3.1469464898109436","3.1469464898109436"
"4500","3.143876140117645","3.143876140117645","3.143876140117645"
"4600","3.1366628241539","3.1366628241539","3.1366628241539"
"4700","3.1320058631896974","3.1320058631896974","3.1320058631896974"
"4800","3.1230651903152467","3.1230651903152467","3.1230651903152467"
"4900","3.121186957359314","3.121186957359314","3.121186957359314"
"5000","3.1174097561836245","3.1174097561836245","3.1174097561836245"
"5100","3.1070392608642576","3.1070392608642576","3.1070392608642576"
"5200","3.105784273147583","3.105784273147583","3.105784273147583"
"5300","3.097136466503143","3.097136466503143","3.097136466503143"
"5400","3.084282784461975","3.084282784461975","3.084282784461975"
"5500","3.084790108203888","3.084790108203888","3.084790108203888"
"5600","3.078670017719269","3.078670017719269","3.078670017719269"
"5700","3.072075526714325","3.072075526714325","3.072075526714325"
"5800","3.0667041778564452","3.0667041778564452","3.0667041778564452"
"5900","3.0540750408172608","3.0540750408172608","3.0540750408172608"
"6000","3.0508701038360595","3.0508701038360595","3.0508701038360595"
"6100","3.037207057476044","3.037207057476044","3.037207057476044"
"6200","3.030011954307556","3.030011954307556","3.030011954307556"
"6300","3.0222146677970887","3.0222146677970887","3.0222146677970887"
