"Step","count3_large_decoder_0 - loss","count3_large_decoder_0 - loss__MIN","count3_large_decoder_0 - loss__MAX"
"100","3.598832514286041","3.598832514286041","3.598832514286041"
"200","3.413367221355438","3.413367221355438","3.413367221355438"
"300","3.3889936232566833","3.3889936232566833","3.3889936232566833"
"400","3.379005253314972","3.379005253314972","3.379005253314972"
"500","3.37336998462677","3.37336998462677","3.37336998462677"
"600","3.363601405620575","3.363601405620575","3.363601405620575"
"700","3.352316198348999","3.352316198348999","3.352316198348999"
"800","3.3457330799102785","3.3457330799102785","3.3457330799102785"
"900","3.340325560569763","3.340325560569763","3.340325560569763"
"1000","3.332146713733673","3.332146713733673","3.332146713733673"
"1100","3.327372136116028","3.327372136116028","3.327372136116028"
"1200","3.320233688354492","3.320233688354492","3.320233688354492"
"1300","3.3123756670951843","3.3123756670951843","3.3123756670951843"
"1400","3.3082710218429567","3.3082710218429567","3.3082710218429567"
"1500","3.3032084703445435","3.3032084703445435","3.3032084703445435"
"1600","3.295925941467285","3.295925941467285","3.295925941467285"
"1700","3.29243271112442","3.29243271112442","3.29243271112442"
"1800","3.28571240901947","3.28571240901947","3.28571240901947"
"1900","3.280583772659302","3.280583772659302","3.280583772659302"
"2000","3.277214238643646","3.277214238643646","3.277214238643646"
"2100","3.2724881553649903","3.2724881553649903","3.2724881553649903"
"2200","3.2678784632682802","3.2678784632682802","3.2678784632682802"
"2300","3.264724786281586","3.264724786281586","3.264724786281586"
"2400","3.259453432559967","3.259453432559967","3.259453432559967"
"2500","3.259477713108063","3.259477713108063","3.259477713108063"
"2600","3.2534344720840456","3.2534344720840456","3.2534344720840456"
"2700","3.2487282252311704","3.2487282252311704","3.2487282252311704"
"2800","3.245530550479889","3.245530550479889","3.245530550479889"
"2900","3.2420524406433104","3.2420524406433104","3.2420524406433104"
"3000","3.2405855870246887","3.2405855870246887","3.2405855870246887"
"3100","3.231673467159271","3.231673467159271","3.231673467159271"
"3200","3.2323214697837828","3.2323214697837828","3.2323214697837828"
"3300","3.2297933173179625","3.2297933173179625","3.2297933173179625"
"3400","3.2208080816268922","3.2208080816268922","3.2208080816268922"
"3500","3.2190784549713136","3.2190784549713136","3.2190784549713136"
"3600","3.2208602976799012","3.2208602976799012","3.2208602976799012"
"3700","3.2142059588432312","3.2142059588432312","3.2142059588432312"
"3800","3.214682924747467","3.214682924747467","3.214682924747467"
"3900","3.2096627163887024","3.2096627163887024","3.2096627163887024"
"4000","3.2095461678504944","3.2095461678504944","3.2095461678504944"
"4100","3.2047367238998414","3.2047367238998414","3.2047367238998414"
"4200","3.198700008392334","3.198700008392334","3.198700008392334"
"4300","3.1988061332702635","3.1988061332702635","3.1988061332702635"
"4400","3.198070342540741","3.198070342540741","3.198070342540741"
"4500","3.1950802206993103","3.1950802206993103","3.1950802206993103"
"4600","3.189953842163086","3.189953842163086","3.189953842163086"
"4700","3.1924331378936768","3.1924331378936768","3.1924331378936768"
"4800","3.185601010322571","3.185601010322571","3.185601010322571"
"4900","3.1853808856010435","3.1853808856010435","3.1853808856010435"
"5000","3.18581983089447","3.18581983089447","3.18581983089447"
"5100","3.18311324596405","3.18311324596405","3.18311324596405"
"5200","3.183778817653656","3.183778817653656","3.183778817653656"
"5300","3.179693479537964","3.179693479537964","3.179693479537964"
"5400","3.1718364357948303","3.1718364357948303","3.1718364357948303"
"5500","3.174835503101349","3.174835503101349","3.174835503101349"
"5600","3.1727199387550353","3.1727199387550353","3.1727199387550353"
"5700","3.175935635566711","3.175935635566711","3.175935635566711"
"5800","3.1723236560821535","3.1723236560821535","3.1723236560821535"
"5900","3.167240786552429","3.167240786552429","3.167240786552429"
"6000","3.166274971961975","3.166274971961975","3.166274971961975"
"6100","3.1658657026290893","3.1658657026290893","3.1658657026290893"
"6200","3.161868300437927","3.161868300437927","3.161868300437927"
"6300","3.159680359363556","3.159680359363556","3.159680359363556"
"6400","3.160306091308594","3.160306091308594","3.160306091308594"
"6500","3.159619219303131","3.159619219303131","3.159619219303131"
"6600","3.157126443386078","3.157126443386078","3.157126443386078"
"6700","3.1574599719047547","3.1574599719047547","3.1574599719047547"
"6800","3.1559367895126345","3.1559367895126345","3.1559367895126345"
"6900","3.1526360392570494","3.1526360392570494","3.1526360392570494"
"7000","3.145672609806061","3.145672609806061","3.145672609806061"
"7100","3.1489695620536806","3.1489695620536806","3.1489695620536806"
"7200","3.14339257478714","3.14339257478714","3.14339257478714"
"7300","3.1472221183776856","3.1472221183776856","3.1472221183776856"
"7400","3.1474713706970214","3.1474713706970214","3.1474713706970214"
"7500","3.137898151874542","3.137898151874542","3.137898151874542"
"7600","3.1383131384849547","3.1383131384849547","3.1383131384849547"
"7700","3.1374589300155638","3.1374589300155638","3.1374589300155638"
"7800","3.138547649383545","3.138547649383545","3.138547649383545"
"7900","3.1377882599830627","3.1377882599830627","3.1377882599830627"
"8000","3.13204665184021","3.13204665184021","3.13204665184021"
"8100","3.1336645340919493","3.1336645340919493","3.1336645340919493"
"8200","3.1314610862731933","3.1314610862731933","3.1314610862731933"
"8300","3.130393795967102","3.130393795967102","3.130393795967102"
"8400","3.1297293591499327","3.1297293591499327","3.1297293591499327"
"8500","3.128350522518158","3.128350522518158","3.128350522518158"
"8600","3.1257025384902954","3.1257025384902954","3.1257025384902954"
"8700","3.1292380690574646","3.1292380690574646","3.1292380690574646"
"8800","3.1169370579719544","3.1169370579719544","3.1169370579719544"
"8900","3.1198845601081846","3.1198845601081846","3.1198845601081846"
"9000","3.12018444776535","3.12018444776535","3.12018444776535"
"9100","3.11905567407608","3.11905567407608","3.11905567407608"
"9200","3.1162095141410826","3.1162095141410826","3.1162095141410826"
"9300","3.115578694343567","3.115578694343567","3.115578694343567"
"9400","3.114520308971405","3.114520308971405","3.114520308971405"
"9500","3.1122492480278017","3.1122492480278017","3.1122492480278017"
"9600","3.110522792339325","3.110522792339325","3.110522792339325"
"9700","3.1026491069793702","3.1026491069793702","3.1026491069793702"
"9800","3.1069429683685303","3.1069429683685303","3.1069429683685303"
"9900","3.101764783859253","3.101764783859253","3.101764783859253"
"10000","3.104607081413269","3.104607081413269","3.104607081413269"
"10100","3.1001030015945434","3.1001030015945434","3.1001030015945434"
"10200","3.104695336818695","3.104695336818695","3.104695336818695"
"10300","3.103645710945129","3.103645710945129","3.103645710945129"
"10400","3.1013646721839905","3.1013646721839905","3.1013646721839905"
"10500","3.096380627155304","3.096380627155304","3.096380627155304"
"10600","3.0996365761756897","3.0996365761756897","3.0996365761756897"
"10700","3.0920920252799986","3.0920920252799986","3.0920920252799986"
"10800","3.091612448692322","3.091612448692322","3.091612448692322"
"10900","3.0968942260742187","3.0968942260742187","3.0968942260742187"
"11000","3.093484582901001","3.093484582901001","3.093484582901001"
"11100","3.0949408197402954","3.0949408197402954","3.0949408197402954"
"11200","3.0894851160049437","3.0894851160049437","3.0894851160049437"
"11300","3.0898443126678465","3.0898443126678465","3.0898443126678465"
"11400","3.0908419394493105","3.0908419394493105","3.0908419394493105"
"11500","3.0890473175048827","3.0890473175048827","3.0890473175048827"
"11600","3.085175566673279","3.085175566673279","3.085175566673279"
"11700","3.081090502738953","3.081090502738953","3.081090502738953"
"11800","3.0824800324440003","3.0824800324440003","3.0824800324440003"
"11900","3.076049971580505","3.076049971580505","3.076049971580505"
"12000","3.0766091537475586","3.0766091537475586","3.0766091537475586"
"12100","3.07848742723465","3.07848742723465","3.07848742723465"
"12200","3.073933432102203","3.073933432102203","3.073933432102203"
"12300","3.0753273606300353","3.0753273606300353","3.0753273606300353"
"12400","3.073313093185425","3.073313093185425","3.073313093185425"
"12500","3.0764621353149413","3.0764621353149413","3.0764621353149413"
"12600","3.0695333671569824","3.0695333671569824","3.0695333671569824"
"12700","3.073102209568024","3.073102209568024","3.073102209568024"
"12800","3.0682117128372193","3.0682117128372193","3.0682117128372193"
"12900","3.0675233817100525","3.0675233817100525","3.0675233817100525"
"13000","3.0645057702064515","3.0645057702064515","3.0645057702064515"
"13100","3.061616237163544","3.061616237163544","3.061616237163544"
"13200","3.062397437095642","3.062397437095642","3.062397437095642"
"13300","3.069111268520355","3.069111268520355","3.069111268520355"
"13400","3.0608216857910158","3.0608216857910158","3.0608216857910158"
"13500","3.0613615989685057","3.0613615989685057","3.0613615989685057"
"13600","3.0582528162002562","3.0582528162002562","3.0582528162002562"
"13700","3.0561122059822083","3.0561122059822083","3.0561122059822083"
"13800","3.0551001954078676","3.0551001954078676","3.0551001954078676"
"13900","3.0551515007019043","3.0551515007019043","3.0551515007019043"
"14000","3.0543241477012635","3.0543241477012635","3.0543241477012635"
"14100","3.051841523647308","3.051841523647308","3.051841523647308"
"14200","3.053273344039917","3.053273344039917","3.053273344039917"
