"Step","reversed_addition_len_gen_extra_small_deep_encoder_0_fixed - val_acc","reversed_addition_len_gen_extra_small_deep_encoder_0_fixed - val_acc__MIN","reversed_addition_len_gen_extra_small_deep_encoder_0_fixed - val_acc__MAX"
"500","0.0001","0.0001","0.0001"
"1000","0","0","0"
"1500","0","0","0"
"2000","0.0001","0.0001","0.0001"
"2500","0","0","0"
"3000","0","0","0"
"3500","0.0001","0.0001","0.0001"
"4000","0","0","0"
"4500","0.0002","0.0002","0.0002"
"5000","0.0002","0.0002","0.0002"
"5500","0.0003","0.0003","0.0003"
"6000","0.0005","0.0005","0.0005"
"6500","0.0033","0.0033","0.0033"
"7000","0.0149","0.0149","0.0149"
"7500","0.0154","0.0154","0.0154"
"8000","0.0155","0.0155","0.0155"
"8500","0.018","0.018","0.018"
"9000","0.0145","0.0145","0.0145"
"9500","0.0155","0.0155","0.0155"
"10000","0.0166","0.0166","0.0166"
"10500","0.0142","0.0142","0.0142"
"11000","0.0415","0.0415","0.0415"
"11500","0.0747","0.0747","0.0747"
"12000","0.9679","0.9679","0.9679"
"12500","0.9986","0.9986","0.9986"
"13000","0.9997","0.9997","0.9997"
"13500","0.9739","0.9739","0.9739"
"14000","0.9764","0.9764","0.9764"
"14500","0.9881","0.9881","0.9881"
"15000","0.9524","0.9524","0.9524"
"15500","0.9784","0.9784","0.9784"
"16000","0.9597","0.9597","0.9597"
"16500","0.9983","0.9983","0.9983"
"17000","0.988","0.988","0.988"
"17500","0.998","0.998","0.998"
"18000","1","1","1"
"18500","1","1","1"
"19000","1","1","1"
"19500","0.9813","0.9813","0.9813"
"20000","0.654","0.654","0.654"
"20500","0.9997","0.9997","0.9997"
"21000","0.9999","0.9999","0.9999"
"21500","0.9983","0.9983","0.9983"
"22000","1","1","1"
"22500","1","1","1"
"23000","0.9969","0.9969","0.9969"
"23500","0.9984","0.9984","0.9984"
"24000","0.999","0.999","0.999"
"24500","0.9817","0.9817","0.9817"
"25000","1","1","1"
"25500","0.9983","0.9983","0.9983"
"26000","1","1","1"
"26500","0.9659","0.9659","0.9659"
"27000","0.9936","0.9936","0.9936"
"27500","0.9553","0.9553","0.9553"
"28000","1","1","1"
"28500","1","1","1"
"29000","1","1","1"
"29500","1","1","1"
"30000","0.9999","0.9999","0.9999"
