"Step","shakespeare_medium_encoder_0 - train_loss","shakespeare_medium_encoder_0 - train_loss__MIN","shakespeare_medium_encoder_0 - train_loss__MAX"
"1","4.285926818847656","4.285926818847656","4.285926818847656"
"2","4.150722503662109","4.150722503662109","4.150722503662109"
"3","3.9314498901367188","3.9314498901367188","3.9314498901367188"
"4","3.7330684661865234","3.7330684661865234","3.7330684661865234"
"5","3.627298355102539","3.627298355102539","3.627298355102539"
"6","3.5335140228271484","3.5335140228271484","3.5335140228271484"
"7","3.491069793701172","3.491069793701172","3.491069793701172"
"8","3.426921844482422","3.426921844482422","3.426921844482422"
"9","3.4118289947509766","3.4118289947509766","3.4118289947509766"
"10","3.3705482482910156","3.3705482482910156","3.3705482482910156"
"11","3.315502166748047","3.315502166748047","3.315502166748047"
"12","3.2739810943603516","3.2739810943603516","3.2739810943603516"
"13","3.2373809814453125","3.2373809814453125","3.2373809814453125"
"14","3.280345916748047","3.280345916748047","3.280345916748047"
"15","3.2189502716064453","3.2189502716064453","3.2189502716064453"
"16","3.2064571380615234","3.2064571380615234","3.2064571380615234"
"17","3.14599609375","3.14599609375","3.14599609375"
"18","3.1293983459472656","3.1293983459472656","3.1293983459472656"
"19","3.0200037956237793","3.0200037956237793","3.0200037956237793"
"20","2.9770803451538086","2.9770803451538086","2.9770803451538086"
"21","3.001917839050293","3.001917839050293","3.001917839050293"
"22","2.9019131660461426","2.9019131660461426","2.9019131660461426"
"23","2.8544254302978516","2.8544254302978516","2.8544254302978516"
"24","2.893000602722168","2.893000602722168","2.893000602722168"
"25","2.853222131729126","2.853222131729126","2.853222131729126"
"26","2.8338422775268555","2.8338422775268555","2.8338422775268555"
"27","2.7996532917022705","2.7996532917022705","2.7996532917022705"
"28","2.7782673835754395","2.7782673835754395","2.7782673835754395"
"29","2.752643585205078","2.752643585205078","2.752643585205078"
"30","2.74432110786438","2.74432110786438","2.74432110786438"
"31","2.730142593383789","2.730142593383789","2.730142593383789"
"32","2.666667938232422","2.666667938232422","2.666667938232422"
"33","2.691472291946411","2.691472291946411","2.691472291946411"
"34","2.670504331588745","2.670504331588745","2.670504331588745"
"35","2.6391749382019043","2.6391749382019043","2.6391749382019043"
"36","2.6623799800872803","2.6623799800872803","2.6623799800872803"
"37","2.621469259262085","2.621469259262085","2.621469259262085"
"38","2.6358160972595215","2.6358160972595215","2.6358160972595215"
"39","2.5940651893615723","2.5940651893615723","2.5940651893615723"
