"Step","memory_bound_extra_small_decoder_0_resumed - loss","memory_bound_extra_small_decoder_0_resumed - loss__MIN","memory_bound_extra_small_decoder_0_resumed - loss__MAX"
"47900","26.122890281677247","26.122890281677247","26.122890281677247"
"48000","26.17351366043091","26.17351366043091","26.17351366043091"
"48100","26.216657943725586","26.216657943725586","26.216657943725586"
"48200","26.244699745178224","26.244699745178224","26.244699745178224"
"48300","26.239320602416992","26.239320602416992","26.239320602416992"
"48400","26.198833999633788","26.198833999633788","26.198833999633788"
"48500","26.024894943237303","26.024894943237303","26.024894943237303"
"48600","26.351671829223633","26.351671829223633","26.351671829223633"
"48700","26.338967628479004","26.338967628479004","26.338967628479004"
"48800","26.243627490997316","26.243627490997316","26.243627490997316"
"48900","26.166943378448487","26.166943378448487","26.166943378448487"
"49000","26.330540523529052","26.330540523529052","26.330540523529052"
"49100","26.29066083908081","26.29066083908081","26.29066083908081"
"49200","26.048257236480712","26.048257236480712","26.048257236480712"
"49300","25.99129663467407","25.99129663467407","25.99129663467407"
"49400","26.151562938690187","26.151562938690187","26.151562938690187"
"49500","26.132738647460936","26.132738647460936","26.132738647460936"
"49600","26.199072742462157","26.199072742462157","26.199072742462157"
"49700","26.151620330810548","26.151620330810548","26.151620330810548"
"49800","26.22435998916626","26.22435998916626","26.22435998916626"
"49900","26.295886516571045","26.295886516571045","26.295886516571045"
"50000","26.260658569335938","26.260658569335938","26.260658569335938"
"50100","26.08897891998291","26.08897891998291","26.08897891998291"
"50200","26.309911708831788","26.309911708831788","26.309911708831788"
"50300","26.323767375946044","26.323767375946044","26.323767375946044"
"50400","26.221574687957762","26.221574687957762","26.221574687957762"
"50500","26.192835807800293","26.192835807800293","26.192835807800293"
"50600","26.27796937942505","26.27796937942505","26.27796937942505"
"50700","26.213157119750978","26.213157119750978","26.213157119750978"
"50800","26.125974349975586","26.125974349975586","26.125974349975586"
"50900","26.31059808731079","26.31059808731079","26.31059808731079"
"51000","26.17156156539917","26.17156156539917","26.17156156539917"
"51100","26.24359245300293","26.24359245300293","26.24359245300293"
"51200","26.23518144607544","26.23518144607544","26.23518144607544"
"51300","26.110465564727782","26.110465564727782","26.110465564727782"
"51400","26.19167043685913","26.19167043685913","26.19167043685913"
"51500","26.30192350387573","26.30192350387573","26.30192350387573"
"51600","26.16278844833374","26.16278844833374","26.16278844833374"
"51700","26.261278705596922","26.261278705596922","26.261278705596922"
"51800","26.17916738510132","26.17916738510132","26.17916738510132"
"51900","26.367807884216308","26.367807884216308","26.367807884216308"
"52000","26.20519178390503","26.20519178390503","26.20519178390503"
"52100","26.228880844116212","26.228880844116212","26.228880844116212"
"52200","26.238454036712646","26.238454036712646","26.238454036712646"
"52300","26.10497745513916","26.10497745513916","26.10497745513916"
"52400","26.097946758270265","26.097946758270265","26.097946758270265"
"52500","26.100085430145263","26.100085430145263","26.100085430145263"
"52600","26.316425647735596","26.316425647735596","26.316425647735596"
"52700","26.324414653778078","26.324414653778078","26.324414653778078"
"52800","26.194659996032716","26.194659996032716","26.194659996032716"
"52900","26.211063232421875","26.211063232421875","26.211063232421875"
"53000","26.164095211029053","26.164095211029053","26.164095211029053"
"53100","26.284224891662596","26.284224891662596","26.284224891662596"
"53200","26.091754035949705","26.091754035949705","26.091754035949705"
"53300","26.267956619262694","26.267956619262694","26.267956619262694"
"53400","26.358318748474122","26.358318748474122","26.358318748474122"
"53500","26.133763599395753","26.133763599395753","26.133763599395753"
"53600","26.30087215423584","26.30087215423584","26.30087215423584"
"53700","26.222585601806642","26.222585601806642","26.222585601806642"
"53800","26.20597148895264","26.20597148895264","26.20597148895264"
"53900","26.21451801300049","26.21451801300049","26.21451801300049"
"54000","26.20125783920288","26.20125783920288","26.20125783920288"
"54100","26.330950355529787","26.330950355529787","26.330950355529787"
"54200","26.08199893951416","26.08199893951416","26.08199893951416"
"54300","26.179153671264647","26.179153671264647","26.179153671264647"
